,Threat_z,Threat_z_lag1,Threat_z_lag2,Acts_z,Acts_z_lag1,Acts_z_lag2
Threat_z,1.0,0.7357496704869431,0.599042990289416,0.7410067346097682,0.5207408155690616,0.594016255995019
Threat_z_lag1,0.7357496704869431,1.0,0.7079385396967715,0.5209746858498446,0.774549838019014,0.5396461838935602
Threat_z_lag2,0.599042990289416,0.7079385396967715,1.0,0.3653834266796291,0.508266754936544,0.7763425870458075
Acts_z,0.7410067346097682,0.5209746858498446,0.3653834266796291,1.0,0.5606638969797488,0.4492296371114884
Acts_z_lag1,0.5207408155690616,0.774549838019014,0.508266754936544,0.5606638969797488,1.0,0.5752617322956722
Acts_z_lag2,0.594016255995019,0.5396461838935602,0.7763425870458075,0.4492296371114884,0.5752617322956722,1.0
