shock,cov,beta,se,p
Threat_z,twoway,-0.0065111271294339915,0.002628103871650693,0.013243372510630458
Threat_z,time,-0.0065111271294339915,0.0026687210357940064,0.014709071623427272
Threat_z,dk,-0.0065111271294339915,0.0017637507377112347,0.00022373520373974998
Acts_z,twoway,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14
Acts_z,time,-0.005889746491737053,0.00145097903941857,4.9541960499777105e-05
Acts_z,dk,-0.005889746491737053,0.001122034107772907,1.5521533613949146e-07
