symbol,n,start,end
ACC,1484,2020-01-02,2025-12-31
AGR,1499,2020-01-02,2025-12-31
AMV,1225,2020-01-02,2025-03-14
APS,1482,2020-01-02,2025-12-31
AST,1495,2020-01-02,2025-12-31
BCC,1499,2020-01-02,2025-12-31
BHN,1417,2020-01-02,2025-12-31
BMC,1499,2020-01-02,2025-12-31
BRC,1324,2020-01-08,2025-12-31
BTW,533,2020-01-08,2025-12-23
BXH,368,2020-01-02,2025-12-04
CAG,1205,2021-01-06,2025-12-31
CCL,1499,2020-01-02,2025-12-31
CET,1365,2020-01-02,2025-12-26
CII,1499,2020-01-02,2025-12-31
CLH,1388,2020-01-02,2025-12-31
CMC,1104,2020-01-02,2025-12-31
CMX,1499,2020-01-02,2025-12-31
CRC,1499,2020-01-02,2025-12-31
CSV,1499,2020-01-02,2025-12-31
CTG,1499,2020-01-02,2025-12-31
CTT,471,2020-01-03,2025-12-08
D2D,1499,2020-01-02,2025-12-31
DAT,1249,2020-01-22,2025-12-31
DC2,1205,2020-01-22,2025-12-26
DGC,1493,2020-01-02,2025-12-31
DHG,1499,2020-01-02,2025-12-31
DLG,1499,2020-01-02,2025-12-31
DP3,1392,2020-01-02,2025-12-31
DQC,1498,2020-01-02,2025-12-31
DS3,1432,2020-01-02,2025-12-31
DTD,1499,2020-01-02,2025-12-31
DXG,1499,2020-01-02,2025-12-31
EID,1449,2020-01-07,2025-12-31
EVF,1491,2020-01-02,2025-12-31
FIT,1499,2020-01-02,2025-12-31
G36,1499,2020-01-02,2025-12-31
GEX,1499,2020-01-02,2025-12-31
GSP,1475,2020-01-02,2025-12-31
HAP,1493,2020-01-02,2025-12-31
HBC,1491,2020-01-02,2025-12-31
HDC,1499,2020-01-02,2025-12-31
HII,1499,2020-01-02,2025-12-31
HPG,1499,2020-01-02,2025-12-31
HTG,1421,2020-01-02,2025-12-31
HTV,1283,2020-01-02,2025-12-30
IDI,1499,2020-01-02,2025-12-31
ILB,1420,2020-01-02,2025-12-31
KBC,1499,2020-01-02,2025-12-31
KHP,1489,2020-01-06,2025-12-31
KSB,1499,2020-01-02,2025-12-31
KSV,1142,2020-08-07,2025-12-31
LCG,1499,2020-01-02,2025-12-31
LIX,1481,2020-01-02,2025-12-31
MBS,1499,2020-01-02,2025-12-31
MSB,1254,2020-12-23,2025-12-31
NAB,1301,2020-10-09,2025-12-31
NCT,1493,2020-01-02,2025-12-31
NNC,1493,2020-01-02,2025-12-31
NVB,1499,2020-01-02,2025-12-31
ORS,1483,2020-01-02,2025-12-31
PDR,1499,2020-01-02,2025-12-31
PGS,1271,2020-01-02,2025-12-31
PMG,1128,2020-01-02,2025-12-31
PPC,1499,2020-01-02,2025-12-31
PVC,1499,2020-01-02,2025-12-31
PVT,1499,2020-01-02,2025-12-31
S55,994,2020-01-03,2025-12-26
SAV,1483,2020-01-02,2025-12-31
SD5,1451,2020-01-06,2025-12-31
SEA,1351,2020-01-02,2025-12-31
SGR,1453,2020-01-06,2025-12-31
SJS,1499,2020-01-02,2025-12-31
SRC,1294,2020-01-02,2025-12-31
STK,1498,2020-01-02,2025-12-31
TCB,1499,2020-01-02,2025-12-31
TDP,1332,2020-01-02,2025-12-31
THG,1499,2020-01-02,2025-12-31
TMB,1353,2020-02-05,2025-12-31
TNI,1499,2020-01-02,2025-12-31
TSC,1499,2020-01-02,2025-12-31
TV2,1499,2020-01-02,2025-12-31
VC1,1003,2020-01-02,2025-12-29
VCB,1499,2020-01-02,2025-12-31
VCS,1499,2020-01-02,2025-12-31
VFG,1281,2020-01-02,2025-12-31
VIB,1492,2020-01-02,2025-12-31
VJC,1499,2020-01-02,2025-12-31
VNF,1216,2020-01-03,2025-12-31
VPB,1499,2020-01-02,2025-12-31
VPS,1354,2020-01-02,2025-12-31
VSH,1489,2020-01-02,2025-12-31
VTJ,997,2020-01-02,2025-12-29
WSS,1431,2020-01-02,2025-12-31
