symbol,n,start,end
ACL,1495,2020-01-02,2025-12-31
ALT,916,2020-01-15,2025-12-29
ANV,1499,2020-01-02,2025-12-31
ARM,310,2020-01-13,2025-11-24
ATS,410,2020-04-06,2025-12-16
BCE,1499,2020-01-02,2025-12-31
BIC,1498,2020-01-02,2025-12-31
BMI,1499,2020-01-02,2025-12-31
BTP,1483,2020-01-02,2025-12-31
BVH,1499,2020-01-02,2025-12-31
C32,1480,2020-01-02,2025-12-31
CAN,819,2020-01-02,2025-12-23
CDC,1469,2020-01-02,2025-12-31
CHP,1491,2020-01-02,2025-12-31
CJC,186,2020-01-02,2025-12-24
CLL,1446,2020-01-06,2025-12-31
CMG,1499,2020-01-02,2025-12-31
CNG,1498,2020-01-02,2025-12-31
CRE,1499,2020-01-02,2025-12-31
CTB,883,2020-01-06,2025-12-30
CTI,1499,2020-01-02,2025-12-31
CVT,1097,2020-01-02,2025-12-31
DAD,1044,2020-02-10,2025-12-31
DBC,1499,2020-01-02,2025-12-31
DC4,1383,2020-01-02,2025-12-31
DGW,1499,2020-01-02,2025-12-31
DHM,1461,2020-01-03,2025-12-31
DMC,1427,2020-01-03,2025-12-31
DPG,1499,2020-01-02,2025-12-31
DRC,1499,2020-01-02,2025-12-31
DST,1499,2020-01-02,2025-12-31
DTK,1095,2020-01-21,2025-12-30
DXS,1114,2021-07-15,2025-12-31
ELC,1499,2020-01-02,2025-12-31
FCM,1495,2020-01-02,2025-12-31
FMC,1499,2020-01-02,2025-12-31
GAS,1499,2020-01-02,2025-12-31
GIL,1499,2020-01-02,2025-12-31
GVR,1493,2020-01-02,2025-12-31
HAR,1499,2020-01-02,2025-12-31
HCC,1316,2020-01-02,2025-12-31
HDG,1499,2020-01-02,2025-12-31
HLD,1499,2020-01-02,2025-12-31
HQC,1499,2020-01-02,2025-12-31
HTI,1441,2020-01-02,2025-12-31
HUB,1484,2020-01-02,2025-12-31
IDJ,1499,2020-01-02,2025-12-31
IMP,1486,2020-01-02,2025-12-31
KDC,1499,2020-01-02,2025-12-31
KLB,1463,2020-01-02,2025-12-31
KSD,1187,2020-01-02,2025-12-30
L14,1499,2020-01-02,2025-12-31
LDG,1499,2020-01-02,2025-12-31
LM7,896,2020-01-02,2025-11-21
MCH,1494,2020-01-02,2025-12-31
MSH,1499,2020-01-02,2025-12-31
NAF,1499,2020-01-02,2025-12-31
NHA,1490,2020-01-02,2025-12-31
NRC,1499,2020-01-02,2025-12-31
NVT,1407,2020-01-02,2025-12-31
PAC,1436,2020-01-02,2025-12-31
PET,1499,2020-01-02,2025-12-31
PIT,1458,2020-01-02,2025-12-31
PNJ,1499,2020-01-02,2025-12-31
PTB,1499,2020-01-02,2025-12-31
PVD,1499,2020-01-02,2025-12-31
QCG,1499,2020-01-02,2025-12-31
S99,1481,2020-01-03,2025-12-31
SBA,1477,2020-01-02,2025-12-31
SD6,1267,2020-01-02,2025-12-26
SGC,681,2020-01-03,2025-12-31
SHP,1453,2020-01-02,2025-12-31
SKG,1499,2020-01-02,2025-12-31
SSC,933,2020-01-02,2025-12-31
SVC,1062,2020-01-02,2025-12-31
TCM,1499,2020-01-02,2025-12-31
TDW,646,2020-01-02,2025-12-31
TIP,1499,2020-01-02,2025-12-31
TMP,1391,2020-01-03,2025-12-31
TPB,1499,2020-01-02,2025-12-31
TTA,1322,2020-09-18,2025-12-31
TV4,1408,2020-01-02,2025-12-31
VC2,1347,2020-02-05,2025-12-31
VCG,1494,2020-01-02,2025-12-31
VDP,1194,2020-01-03,2025-12-31
VGC,1499,2020-01-02,2025-12-31
VIC,1499,2020-01-02,2025-12-31
VLC,1489,2020-01-02,2025-12-31
VNM,1499,2020-01-02,2025-12-31
VPG,1499,2020-01-02,2025-12-31
VRC,1492,2020-01-02,2025-12-30
VSI,1134,2020-01-02,2025-12-31
VTO,1499,2020-01-02,2025-12-31
X20,744,2020-03-03,2025-12-29
