symbol,n,start,end
AAA,1499,2020-01-02,2025-12-31
ADC,868,2020-01-06,2025-12-31
AMC,690,2020-01-09,2025-12-31
APG,1499,2020-01-02,2025-12-31
ASM,1499,2020-01-02,2025-12-31
BAX,1210,2020-01-02,2025-12-30
BED,88,2020-02-07,2025-06-10
BID,1499,2020-01-02,2025-12-31
BMP,1499,2020-01-02,2025-12-31
BTS,1453,2020-01-02,2025-12-29
BVS,1499,2020-01-02,2025-12-31
C47,1499,2020-01-02,2025-12-31
CAP,1492,2020-01-02,2025-12-31
CDN,1395,2020-01-02,2025-12-31
CIA,1478,2020-01-03,2025-12-31
CKV,506,2020-01-02,2025-12-31
CLM,728,2020-01-13,2025-12-31
CMS,1462,2020-01-02,2025-12-31
COM,965,2020-01-02,2025-12-16
CSC,1496,2020-01-02,2025-12-31
CTD,1499,2020-01-02,2025-12-31
CTP,1484,2020-01-02,2025-12-31
CX8,673,2020-01-03,2025-12-24
DAE,792,2020-01-02,2025-12-25
DBD,1497,2020-01-02,2025-12-31
DCL,1499,2020-01-02,2025-12-31
DHA,1497,2020-01-02,2025-12-31
DIG,1499,2020-01-02,2025-12-31
DNC,530,2020-01-02,2025-12-31
DPM,1499,2020-01-02,2025-12-31
DRH,1358,2020-01-02,2025-12-31
DTA,1487,2020-01-02,2025-12-31
DTT,521,2020-01-21,2025-12-25
DXV,1443,2020-01-02,2025-12-31
EMC,468,2020-01-02,2023-07-13
FCN,1499,2020-01-02,2025-12-31
FPT,1499,2020-01-02,2025-12-31
GDT,1499,2020-01-02,2025-12-31
GKM,1450,2020-01-02,2025-12-26
HAG,1499,2020-01-02,2025-12-31
HAS,1066,2020-01-03,2025-12-24
HCM,1499,2020-01-02,2025-12-31
HHP,1491,2020-01-02,2025-12-31
HMC,1485,2020-01-02,2025-12-31
HSG,1499,2020-01-02,2025-12-31
HTN,1499,2020-01-02,2025-12-31
HVH,1499,2020-01-02,2025-12-31
IDV,1498,2020-01-02,2025-12-31
ITA,1181,2020-01-02,2024-09-25
KDH,1499,2020-01-02,2025-12-31
KMR,1498,2020-01-02,2025-12-31
KSH,467,2020-01-03,2024-05-31
L18,1309,2020-01-20,2025-12-31
LGC,670,2020-01-03,2025-12-31
LSS,1499,2020-01-02,2025-12-31
MCP,1090,2020-01-02,2025-12-31
MSN,1499,2020-01-02,2025-12-31
NAV,1224,2020-01-02,2025-12-31
NKG,1499,2020-01-02,2025-12-31
NSC,1442,2020-01-02,2025-12-29
OCB,1229,2021-01-28,2025-12-31
PAN,1492,2020-01-02,2025-12-31
PGC,1493,2020-01-02,2025-12-31
PLC,1499,2020-01-02,2025-12-31
POM,1166,2020-01-02,2025-12-26
PTI,1283,2020-01-02,2025-12-31
PVI,1499,2020-01-02,2025-12-31
RAL,1497,2020-01-02,2025-12-31
SAB,1499,2020-01-02,2025-12-31
SBT,1499,2020-01-02,2025-12-31
SD9,1475,2020-01-02,2025-12-31
SGN,1481,2020-01-02,2025-12-31
SHS,1499,2020-01-02,2025-12-31
SMC,1493,2020-01-02,2025-12-31
ST8,1393,2020-01-08,2025-12-31
SZC,1499,2020-01-02,2025-12-31
TCR,1364,2020-01-02,2025-12-31
TEG,1467,2020-01-02,2025-12-31
TIX,828,2020-01-07,2025-12-30
TMS,1417,2020-01-02,2025-12-31
TRA,1418,2020-01-02,2025-12-31
TTB,876,2020-01-02,2023-07-06
TVB,1493,2020-01-02,2025-12-31
VC3,1499,2020-01-02,2025-12-31
VCI,1499,2020-01-02,2025-12-31
VDS,1456,2020-01-02,2025-12-31
VHC,1499,2020-01-02,2025-12-31
VIP,1499,2020-01-02,2025-12-31
VND,1493,2020-01-02,2025-12-31
VNR,1414,2020-01-06,2025-12-31
VPH,1499,2020-01-02,2025-12-31
VRE,1499,2020-01-02,2025-12-31
VTC,1233,2020-01-02,2025-12-31
VTV,1398,2020-01-02,2025-12-31
YBM,1381,2020-01-02,2025-12-31
