spec,shock,n,firms,beta,se,p,r2_within,q_fdr_prespecified
PRIMARY_locked_highliab,Threat_mean,7749,325,0.00016800576790687165,0.0023925825878855435,0.9440209133958084,0.005044999954963214,0.9440209133958084
winsor_1_99,Threat_mean,7749,325,-0.0007673945652473022,0.002018215462796732,0.7037824817298266,0.0034172534298883006,0.9440209133958084
exclude_2022H1,Threat_mean,7101,325,-0.000447712961368596,0.0024329011207747777,0.8539999064990622,0.005362648885432808,0.9440209133958084
lag1_persistence,Threat_lag1,7425,325,-0.001806897157077107,0.002366100177496181,0.44509507217743716,0.004767211659994386,0.9440209133958084
LEAD1_PLACEBO,Threat_lead1,7429,325,0.0013162021961908746,0.0018071078907193829,0.46642509188979764,0.005596461904133099,
alt_threat_p90,Threat_p90,7749,325,0.00042045983343408307,0.0024421182765796776,0.8633084854534527,0.005027786412398205,0.9440209133958084
alt_threat_max,Threat_max,7749,325,0.0008219373860862438,0.002322132161554127,0.7233804043229612,0.004695053198230048,0.9440209133958084
alt_threat_spike_share,Threat_spike_share,7749,325,0.0005783762413178072,0.002887103298096142,0.8412272393970324,0.004936108566401254,0.9440209133958084
joint_threat_acts,Threat_mean,7749,325,0.0024501087603248707,0.004793227179747816,0.6092538789842084,0.004836735793252833,0.9440209133958084
