Date,THREATS_GPR_AI,ACTS_GPR_AI,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
2020-02-18,64.65,70.45,65.99,131.46,228.09,55.39,0.0,0.0,0.0,0.0,228.09,0.0,0.0,0.0
2020-02-19,95.78,88.88,102.64,108.83,161.86,98.77,0.0,161.86,0.0,161.86,0.0,0.0,0.0,0.0
2020-02-20,69.68,66.05,70.87,29.58,179.65,63.76,76.99,0.0,0.0,0.0,102.66,0.0,0.0,0.0
2020-02-21,102.75,71.98,93.75,59.69,155.36,89.72,155.36,0.0,77.68,0.0,0.0,0.0,0.0,0.0
2020-02-22,167.79,64.56,127.46,22.59,117.57,128.11,117.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,92.0,52.91,70.96,52.89,73.42,70.8,0.0,0.0,0.0,0.0,73.42,0.0,0.0,0.0
2020-02-24,86.53,112.45,108.63,108.53,263.64,98.5,263.64,150.65,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,87.83,14.93,60.51,66.85,0.0,64.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,66.41,73.33,78.06,58.64,0.0,83.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,84.64,99.09,99.48,116.78,151.97,96.04,0.0,0.0,0.0,0.0,151.97,0.0,0.0,0.0
2020-02-28,110.63,103.61,102.39,91.58,158.91,98.7,158.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,147.54,84.21,107.24,85.71,111.54,106.96,0.0,0.0,0.0,111.54,0.0,111.54,0.0,0.0
2020-03-01,87.59,62.47,69.0,41.14,0.0,73.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,97.07,122.49,107.24,171.42,0.0,114.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,85.62,109.42,93.18,87.51,0.0,99.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,87.28,65.19,69.94,116.78,75.98,69.55,75.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,73.27,50.56,60.28,53.92,0.0,64.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,110.63,49.08,76.39,76.32,79.45,76.19,79.45,79.45,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,102.21,119.43,120.13,104.46,217.5,113.76,108.75,0.0,0.0,0.0,0.0,108.75,0.0,0.0
2020-03-08,33.11,53.76,43.49,85.99,74.6,41.46,74.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,61.81,89.37,77.48,90.96,0.0,82.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,86.1,125.87,94.22,180.25,255.88,83.65,85.29,85.29,85.29,0.0,85.29,0.0,85.29,0.0
2020-03-11,76.99,50.6,66.36,84.98,73.73,65.88,73.73,73.73,73.73,73.73,0.0,0.0,0.0,0.0
2020-03-12,58.05,59.71,62.29,55.71,0.0,66.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,42.09,48.42,52.22,51.63,0.0,55.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,36.27,82.24,61.81,60.05,0.0,65.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,36.88,42.11,37.65,21.43,0.0,40.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,68.91,32.18,44.76,60.05,104.19,40.87,104.19,0.0,104.19,0.0,0.0,0.0,0.0,0.0
2020-03-17,62.05,52.43,53.82,65.22,84.88,51.79,84.88,0.0,0.0,0.0,84.88,0.0,0.0,0.0
2020-03-18,28.35,66.07,48.47,99.57,0.0,51.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,52.79,30.13,45.72,122.67,0.0,48.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,86.53,53.71,71.56,106.12,0.0,76.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,32.74,80.69,67.34,67.76,0.0,71.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,57.14,60.09,51.49,105.12,54.72,51.28,0.0,54.72,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,74.61,34.62,59.32,121.11,126.09,54.96,126.09,126.09,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,79.0,29.21,56.1,181.67,189.13,47.4,94.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,32.89,16.21,28.99,90.75,0.0,30.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,48.7,60.01,64.39,117.58,0.0,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,79.54,36.19,68.31,67.53,0.0,72.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,45.02,24.21,36.07,180.69,0.0,38.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,31.98,48.22,39.79,155.72,54.04,38.86,54.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,36.99,59.26,46.19,153.1,0.0,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,45.59,38.52,45.93,161.75,0.0,48.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,44.25,27.27,37.38,91.58,79.45,34.63,79.45,79.45,0.0,79.45,0.0,0.0,0.0,0.0
2020-04-02,45.35,44.71,43.78,143.0,0.0,46.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,78.71,33.74,66.36,18.89,0.0,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,40.11,55.36,51.86,110.69,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,39.59,42.93,39.55,76.47,0.0,42.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,69.22,4.27,43.22,119.38,0.0,46.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,22.2,34.39,29.82,122.51,0.0,31.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,34.61,11.37,27.12,111.42,0.0,28.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,56.28,60.77,63.0,73.95,0.0,67.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,70.13,31.43,50.58,105.56,91.58,47.9,91.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,74.67,40.9,60.95,68.69,119.18,57.14,119.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,34.28,16.9,29.1,31.54,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,13.36,70.25,49.73,98.32,0.0,52.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,42.26,34.72,38.63,142.52,67.44,36.75,67.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,26.24,19.4,24.41,84.47,62.82,21.9,0.0,0.0,0.0,0.0,62.82,0.0,0.0,0.0
2020-04-16,46.78,19.42,39.07,40.77,0.0,41.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,44.19,23.07,38.19,86.08,0.0,40.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,54.73,21.58,51.46,80.55,0.0,54.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,30.13,15.63,25.16,35.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,19.17,34.01,24.78,21.16,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,48.8,28.3,40.49,79.21,82.47,37.74,0.0,0.0,0.0,0.0,0.0,0.0,82.47,0.0
2020-04-22,55.06,54.29,51.48,82.88,71.9,50.14,0.0,0.0,0.0,0.0,0.0,0.0,71.9,0.0
2020-04-23,80.4,39.63,58.27,73.95,0.0,62.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,63.2,46.73,54.16,87.2,151.31,47.81,75.65,75.65,75.65,0.0,0.0,0.0,75.65,0.0
2020-04-25,35.21,41.66,41.39,174.91,0.0,44.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,8.88,28.02,21.92,39.21,0.0,23.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,48.73,24.02,42.96,76.84,100.0,39.23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,61.69,38.7,51.08,61.9,0.0,54.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,32.45,23.99,28.6,89.54,0.0,30.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,68.47,18.17,46.43,87.2,75.65,44.52,75.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,46.97,56.06,61.02,68.22,71.02,60.36,71.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,37.86,70.91,57.84,83.57,108.75,54.51,108.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,43.92,32.47,38.71,30.3,52.57,37.81,52.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,28.67,60.07,52.65,59.34,102.96,49.36,0.0,0.0,0.0,102.96,0.0,102.96,0.0,0.0
2020-05-05,40.57,45.71,45.98,47.98,0.0,48.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,38.72,19.09,34.13,15.26,0.0,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,34.75,36.71,35.01,27.4,71.31,32.64,71.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,62.12,38.28,45.63,57.14,74.36,43.76,74.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,84.87,30.43,68.01,127.75,0.0,72.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,51.55,30.86,43.28,50.8,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,37.43,40.26,45.99,18.78,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,52.92,31.89,50.11,48.68,0.0,53.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,49.6,43.76,55.23,72.04,0.0,58.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,49.39,58.94,51.94,71.73,0.0,55.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,51.55,22.87,39.38,99.57,0.0,41.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,109.46,43.17,83.62,120.82,0.0,89.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,38.85,43.52,45.66,87.71,0.0,48.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,67.3,62.45,62.81,152.94,0.0,66.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,90.4,98.04,102.71,182.94,0.0,109.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,100.02,49.3,80.0,138.0,159.63,74.8,159.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,95.49,26.9,68.94,90.34,0.0,73.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
