symbol,period_q,assets,cfo,current_liab,liabilities,year,q,pidx,avg_assets,cfo_assets,leverage,log_assets,liab_ratio,HL67,Threat,Acts,Threat_z,Acts_z
AAA,2020Q1,7768231726599.0,-7728147143.0,3064318165019.0,4527286854655.0,2020,1,8081,7879181056402.5,-0.000980831267574468,0.5827950316097337,29.681063677394242,0.3944679140461977,0,111.37593406593406,96.85527472527473,-0.35846696665995,-0.8232729571736912
AAA,2020Q2,7786584839414.0,398793370148.0,3174568932453.0,4544986504306.0,2020,2,8082,7777408283006.5,0.051275869240317046,0.5836944691465078,29.683423476528347,0.4076972123111049,0,62.00758241758241,46.14659340659341,-1.5876486638785376,-1.6957409338124345
AAA,2020Q3,8206176494747.0,91152216795.0,2795587293037.0,4239353049643.0,2020,3,8083,7996380667080.5,0.011399184279739889,0.5166051512975289,29.735908217729314,0.3406686774073812,0,79.62728260869565,67.83565217391305,-1.1489503427423007,-1.3225699357539455
AAA,2020Q4,8569613917893.0,129321278406.0,3772834861366.0,4545451942407.0,2020,4,8084,8387895206320.0,0.01541760778181405,0.5304150205549265,29.77924379710255,0.4402572738415294,0,67.58434782608695,61.38478260869565,-1.4487974010565108,-1.4335603415535976
AAA,2021Q1,9179385142444.0,-201795915000.0,4114416685869.0,5051729751083.0,2021,1,8085,8874499530168.5,-0.022738850153070943,0.5503342187620622,29.84798134037055,0.44822355985964674,0,79.96711111111111,70.47822222222223,-1.1404892343314383,-1.277103209283875
AAA,2021Q2,9642310081327.0,144244653423.0,3710035034429.0,4426884790877.0,2021,2,8086,9410847611885.5,0.015327487955582784,0.45911039507534285,29.89718183083555,0.3847662026150496,0,77.50791208791209,80.25483516483517,-1.2017187939218685,-1.1088917415311286
AAA,2021Q3,9957115220854.0,98320925626.0,3801512394659.0,4659393268030.0,2021,3,8087,9799712651090.5,0.01003304169485612,0.46794610333236397,29.929308509111873,0.3817885311497834,0,85.44021739130434,119.40065217391304,-1.0042188942871753,-0.43536857209311014
AAA,2021Q4,9991631928569.0,505415459927.0,3260484568906.0,4533249592064.0,2021,4,8088,9974373574711.5,0.05067139867393815,0.4537046224753449,29.93276905146095,0.32632152507372897,0,82.0075,66.69597826086957,-1.0896872813860612,-1.3421785898755563
AAA,2022Q1,10477077016930.0,19147236568.0,3838441760839.0,5103178395965.0,2022,1,8089,10234354472749.5,0.0018708787758898112,0.4870803553050846,29.980210845320368,0.36636571007700225,0,157.0208888888889,240.22233333333332,0.7780089569922162,1.6434282917570273
AAA,2022Q2,10927724887213.0,-310262152409.0,3996286768740.0,5337317566503.0,2022,2,8090,10702400952071.5,-0.028989957842024905,0.48841983318489507,30.02232424340467,0.3657016268241001,0,121.56472527472526,226.53725274725275,-0.10478469345312412,1.4079697024468536
AAA,2022Q3,11277995454318.0,-56585840566.0,3326090788653.0,4882951646543.0,2022,3,8091,11102860170765.5,-0.0050965102411173226,0.43296272518654605,30.053874638256,0.29491861405029574,0,127.40097826086956,178.60108695652173,0.04052733563799561,0.5832042286136634
AAA,2022Q4,10781316431919.0,428843232483.0,3195249080486.0,4613713019899.0,2022,4,8092,11029655943118.5,0.038880925633093665,0.42793596209083634,30.00883579194238,0.296369103037009,0,122.10489130434782,169.29152173913045,-0.09133554688650089,0.4230285482886556
AAA,2023Q1,10901971260367.0,469101850478.0,3265392932493.0,4670840550735.0,2023,1,8093,10841643846143.0,0.04326851694587686,0.42843999852718034,30.019964738387287,0.29952316461922823,0,121.84666666666668,146.85122222222222,-0.09776486825962302,0.03693208106556696
AAA,2023Q2,11230034913279.0,104747013227.0,3596439506682.0,4885759889773.0,2023,2,8094,11066003086823.0,0.009465659136832248,0.4350618611163723,30.04961299360363,0.3202518544647956,0,118.70505494505494,131.87516483516484,-0.17598525640380488,-0.2207384034890774
AAA,2023Q3,11610261843767.0,911944442484.0,3206291903677.0,5162454215090.0,2023,3,8095,11420148378523.0,0.0798539924576658,0.44464580425130357,30.082910464680065,0.27616017165007406,0,114.28793478260869,123.60293478260868,-0.28596347274709677,-0.3630662185408366
AAA,2023Q4,11534976245894.0,1074052314732.0,3746883819114.0,5614689992713.0,2023,4,8096,11572619044830.5,0.09280978753135231,0.48675349415752894,30.076404948245166,0.3248280481243075,0,178.45260869565217,264.0373913043478,1.3116195971455236,2.053178159061321
AAA,2024Q1,11686618010689.0,177287743045.0,3411149443389.0,5623021220528.0,2024,1,8097,11610797128291.5,0.015269213740115313,0.4811504248179399,30.089465543369702,0.29188508089072823,0,152.9297802197802,187.75604395604395,0.6761478307950123,0.7407197979772323
AAA,2024Q2,12267855757588.0,307718161648.0,3607913079905.0,6105593398756.0,2024,2,8098,11977236884138.5,0.025691915808688088,0.49769034780014637,30.13800360449715,0.29409484030437905,0,156.58549450549452,180.94131868131868,0.7671684328655007,0.6234690744882334
AAA,2024Q3,13032239743626.0,-4219622827.0,4136418106173.0,6955710255283.0,2024,3,8099,12650047750607.0,-0.000333565762769356,0.5337309926856587,30.198447383592686,0.3173988652408041,0,131.34565217391304,182.04402173913041,0.13874250413188957,0.6424416267349812
AAA,2024Q4,13768215584455.0,478127572348.0,4132594319010.0,7531941631255.0,2024,4,8100,13400227664040.5,0.03568055590809512,0.5470528540938113,30.253383833086417,0.3001546782631661,0,148.305,181.28608695652173,0.5609992586833852,0.6294009834169088
AAA,2025Q1,12184753378989.0,-68271459198.0,3056908025337.0,6147473304346.0,2025,1,8101,12976484481722.0,-0.0052611675599938965,0.504521766927717,30.131206563079022,0.25087976180201027,0,204.67611111111108,158.13688888888888,1.9645368635684903,0.23110756553154763
AAA,2025Q2,12159528036613.0,275144461483.0,3190439932889.0,6314821127450.0,2025,2,8102,12172140707801.0,0.022604443054676713,0.5193311046642378,30.129134178934798,0.2623818887774601,0,208.58879120879124,175.05054945054945,2.061955444553267,0.5221154723443423
AAA,2025Q3,12241737677888.0,379917654236.0,3110747143104.0,6223854505750.0,2025,3,8103,12200632857250.5,0.031139176031366716,0.5084126673447693,30.13587235008406,0.25410993316111313,0,154.99913043478261,157.58869565217393,0.7276708678114048,0.22167562938952975
AAA,2025Q4,12891604733753.0,391011069164.0,3279775954320.0,6812374373990.0,2025,4,8104,12566671205820.5,0.031114927951874444,0.528434940000428,30.18759741960354,0.25441176812789174,0,154.22652173913045,160.03815217391303,0.7084343238292993,0.26381974199138886
AAM,2020Q1,219150817519.0,-3548881718.0,11260600881.0,12335686435.0,2020,1,8081,223329388519.5,-0.015890795839841425,0.056288571380439946,26.113025994212666,0.05138288329690454,0,111.37593406593406,96.85527472527473,-0.35846696665995,-0.8232729571736912
AAM,2020Q2,218939662535.0,2050250950.0,11717845368.0,12760052194.0,2020,2,8082,219045240027.0,0.009359942949444058,0.058281135753372966,26.112062015263273,0.053520888962395145,0,62.00758241758241,46.14659340659341,-1.5876486638785376,-1.6957409338124345
AAM,2020Q3,221005553170.0,-15836980127.0,18251143570.0,19293350396.0,2020,3,8083,219972607852.5,-0.07199523741437523,0.08729803445780086,26.12145366561454,0.08258228496168606,0,79.62728260869565,67.83565217391305,-1.1489503427423007,-1.3225699357539455
