shock,n,firms,quarters,hl67_cut,beta,twoway_se,twoway_p,cluster_time_se,t_obs,B_requested,B_success,failures,wcb_p,delta_beta,delta_twoway_se,delta_twoway_p,delta_wcb_p,pass_n,pass_firms,pass_quarters,pass_cut,pass_beta,pass_twoway_se,pass_twoway_p,pass_wcb_p,pass_wcb_complete,gate_b_row_pass
Threat_z,13473,567,24,0.4721168508083521,-0.0065111271294339915,0.0026281038716506914,0.013243372510630458,0.0026687210357940055,-2.4397930851910052,999,999,0,0.067,0.0,-1.734723475976807e-18,0.0,0.0,True,True,True,True,True,True,True,True,True,True
Acts_z,13473,567,24,0.4721168508083521,-0.005889746491737056,0.0007872093649343041,7.815970093361102e-14,0.0014509790394185709,-4.059153393488831,999,999,0,0.003,-2.6020852139652106e-18,5.421010862427522e-19,0.0,0.0,True,True,True,True,True,True,True,True,True,True
