symbol,report,period_q,item_id,value
AAA,balance_sheet,2019Q3,BS_TOTAL_ASSETS,7938063247638.0
AAA,balance_sheet,2019Q3,BS_TOTAL_LIABILITIES,4727606491958.0
AAA,balance_sheet,2019Q3,BS_SHORT_TERM_LIABILITIES,3148309419335.0
AAA,balance_sheet,2019Q2,BS_TOTAL_ASSETS,8351307712921.0
AAA,balance_sheet,2019Q2,BS_TOTAL_LIABILITIES,5129086342647.0
AAA,balance_sheet,2019Q2,BS_SHORT_TERM_LIABILITIES,3454979121357.0
AAA,balance_sheet,2019Q1,BS_TOTAL_ASSETS,7982072749097.0
AAA,balance_sheet,2019Q1,BS_TOTAL_LIABILITIES,4857799855948.0
AAA,balance_sheet,2019Q1,BS_SHORT_TERM_LIABILITIES,3524154034393.0
AAA,balance_sheet,2018Q4,BS_TOTAL_ASSETS,7529166722403.0
AAA,balance_sheet,2018Q4,BS_TOTAL_LIABILITIES,4548916573712.0
AAA,balance_sheet,2018Q4,BS_SHORT_TERM_LIABILITIES,3206103405725.0
AAA,balance_sheet,2018Q3,BS_TOTAL_ASSETS,6685445083032.0
AAA,balance_sheet,2018Q3,BS_TOTAL_LIABILITIES,3758330813509.0
AAA,balance_sheet,2018Q3,BS_SHORT_TERM_LIABILITIES,3046738247213.0
AAA,balance_sheet,2018Q2,BS_TOTAL_ASSETS,6489699296640.0
AAA,balance_sheet,2018Q2,BS_TOTAL_LIABILITIES,3600336216972.0
AAA,balance_sheet,2018Q2,BS_SHORT_TERM_LIABILITIES,2826962893668.0
AAA,balance_sheet,2018Q1,BS_TOTAL_ASSETS,4786813479601.0
AAA,balance_sheet,2018Q1,BS_TOTAL_LIABILITIES,3273870677890.0
AAA,balance_sheet,2018Q1,BS_SHORT_TERM_LIABILITIES,2135393276192.0
AAA,cash_flow,2025Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,391011069164.0
AAA,cash_flow,2025Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,379917654236.0
AAA,cash_flow,2025Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,275144461483.0
AAA,cash_flow,2025Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-68271459198.0
AAA,cash_flow,2024Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,478127572348.0
AAA,cash_flow,2024Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-4219622827.0
AAA,cash_flow,2024Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,307718161648.0
AAA,cash_flow,2024Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,177287743045.0
AAA,cash_flow,2023Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1074052314732.0
AAA,cash_flow,2023Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,911944442484.0
AAA,cash_flow,2023Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,104747013227.0
AAA,cash_flow,2023Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,469101850478.0
AAA,cash_flow,2022Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,428843232483.0
AAA,cash_flow,2022Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-56585840566.0
AAA,cash_flow,2022Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-310262152409.0
AAA,cash_flow,2022Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,19147236568.0
AAA,cash_flow,2021Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,505415459927.0
AAA,cash_flow,2021Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,98320925626.0
AAA,cash_flow,2021Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,144244653423.0
AAA,cash_flow,2021Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-201795915000.0
AAA,cash_flow,2020Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,129321278406.0
AAA,cash_flow,2020Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,91152216795.0
AAA,cash_flow,2020Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,398793370148.0
AAA,cash_flow,2020Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-7728147143.0
