symbol,pre_quarters,baseline_liab_ratio,HL67
VE4,8,0.4518656228782957,0
VGC,8,0.27140274190110913,0
VGP,8,0.9572110218057895,1
VGS,8,0.6001602323042678,1
VHC,8,0.3280426894359668,0
VHE,6,0.3518857033644568,0
VHL,8,0.3453127083700813,0
VHM,8,0.4618411508233329,0
VIC,8,0.4164826939939832,0
VID,8,0.40182589941838687,0
VIG,8,0.06415759014388442,0
VIP,8,0.10102649358827234,0
VIT,8,0.5855919470041978,1
VJC,8,0.4028686313628813,0
VLA,8,0.024502041655093364,0
VMC,8,0.7028587893049514,1
VMD,8,0.9605649887640062,1
VMS,8,0.20609102770236826,0
VNC,8,0.32501074687890846,0
VNF,8,0.5330506915825088,1
VNG,8,0.2126271027399358,0
VNL,8,0.23630556417064047,0
VNM,8,0.25704338055914083,0
VNR,8,0.5725766040083493,1
VNS,8,0.18865534829813302,0
VNT,8,0.6125925935413203,1
VOS,8,0.34091121237989674,0
VPD,8,0.21804028581537516,0
VPG,8,0.8098870920877372,1
VPH,8,0.43807943216062484,0
VPI,8,0.3338925673865737,0
VPS,8,0.37499475747718136,0
VRC,8,0.20106512828378847,0
VRE,8,0.1477178009262237,0
VSA,8,0.4725987920926108,1
VSC,8,0.11695770557929207,0
VSH,8,0.06333477044882871,0
VSI,8,0.38657352090147057,0
VSM,8,0.32481115056854315,0
VTB,8,0.5092403301227997,1
VTC,8,0.8055054477482226,1
VTH,8,0.29861484932847177,0
VTJ,8,0.04146341162802694,0
VTO,8,0.17893826482395145,0
VTV,8,0.6649619527792119,1
WCS,8,0.09691683671309226,0
WSS,8,0.09472108758912243,0
X20,8,0.6347599425235039,1
YBM,8,0.5063244810816058,1
YEG,8,0.29865388584692604,0
