period_q,Threat,Acts,Threat_z,Acts_z
2020Q1,111.37593406593406,96.85527472527473,-0.35846696665995,-0.8232729571736912
2020Q2,62.00758241758241,46.14659340659341,-1.5876486638785376,-1.6957409338124345
2020Q3,79.62728260869565,67.83565217391305,-1.1489503427423007,-1.3225699357539455
2020Q4,67.58434782608695,61.38478260869565,-1.4487974010565108,-1.4335603415535976
2021Q1,79.96711111111111,70.47822222222223,-1.1404892343314383,-1.277103209283875
2021Q2,77.50791208791209,80.25483516483517,-1.2017187939218685,-1.1088917415311286
2021Q3,85.44021739130434,119.40065217391304,-1.0042188942871753,-0.43536857209311014
2021Q4,82.0075,66.69597826086957,-1.0896872813860612,-1.3421785898755563
2022Q1,157.0208888888889,240.22233333333332,0.7780089569922162,1.6434282917570273
2022Q2,121.56472527472526,226.53725274725275,-0.10478469345312412,1.4079697024468536
2022Q3,127.40097826086956,178.60108695652173,0.04052733563799561,0.5832042286136634
2022Q4,122.10489130434782,169.29152173913045,-0.09133554688650089,0.4230285482886556
2023Q1,121.84666666666668,146.85122222222222,-0.09776486825962302,0.03693208106556696
2023Q2,118.70505494505494,131.87516483516484,-0.17598525640380488,-0.2207384034890774
2023Q3,114.28793478260869,123.60293478260868,-0.28596347274709677,-0.3630662185408366
2023Q4,178.45260869565217,264.0373913043478,1.3116195971455236,2.053178159061321
2024Q1,152.9297802197802,187.75604395604395,0.6761478307950123,0.7407197979772323
2024Q2,156.58549450549452,180.94131868131868,0.7671684328655007,0.6234690744882334
2024Q3,131.34565217391304,182.04402173913041,0.13874250413188957,0.6424416267349812
2024Q4,148.305,181.28608695652173,0.5609992586833852,0.6294009834169088
2025Q1,204.67611111111108,158.13688888888888,1.9645368635684903,0.23110756553154763
2025Q2,208.58879120879124,175.05054945054945,2.061955444553267,0.5221154723443423
2025Q3,154.99913043478261,157.58869565217393,0.7276708678114048,0.22167562938952975
2025Q4,154.22652173913045,160.03815217391303,0.7084343238292993,0.26381974199138886
