period,item_id,display_order,level,unit,item,value
2025,NT_BS_INTANGIBLE_FIXED_ASSETS_ACCUMULATED_AMORTIZATION,302,1,VNĐ,Hao mòn TSCĐVH,81271051535.0
2025,NT_BS_INTANGIBLE_FIXED_ASSETS_ACCUMULATED_AMORTIZATION_DECREASES,305,2,VNĐ,  - Giảm trong kỳ,0.0
2025,NT_BS_SHORTTERM_LOANS_AND_LIABILITIES,306,1,VNĐ,Vay và nợ ngắn hạn,4600984725577.0
2025,NT_BS_SHORTTERM_LOANS,307,2,VNĐ,  - Vay ngắn hạn,4600984725577.0
2025,NT_BS_OTHER_PAY,319,1,VNĐ,Phải trả phải nộp khác,12534889804.0
2025,NT_BS_TRADE_UNION_FEES,321,2,VNĐ,  - Kinh phí công đoàn,609943960.0
2025,NT_BS_SOCIAL_INSURANCE,322,2,VNĐ,  - Bảo hiểm xã hội,0.0
2025,NT_BS_UNEMPLOYMENT_INSURANCE,324,2,VNĐ,  - Bảo hiểm thất nghiệp,0.0
2025,NT_BS_UNREALIZED_REVENUE,329,2,VNĐ,  - Doanh thu chưa thực hiện,0.0
2025,NT_BS_TAXES_PAYABLE,331,1,VNĐ,Các khoản phải trả về Thuế,104794811061.0
2025,NT_BS_VALUE_ADDED_TAX,332,2,VNĐ,  - Thuế GTGT,57208732107.0
2025,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,99701432.0
2025,NT_BS_CORPORATE_INCOME_TAX,335,2,VNĐ,  - Thuế TNDN,46468599248.0
2025,NT_BS_PERSONAL_INCOME_TAX,336,2,VNĐ,  - Thuế TNCN,978918678.0
2025,NT_BS_NATURAL_RESOURCES_TAX,337,2,VNĐ,  - Thuế Tài nguyên,0.0
2025,NT_BS_HOUSING_AND_LAND_TAX_AND_LAND_RENTAL,338,2,VNĐ,  - Thuế nhà đất và tiền thuê đất,0.0
2025,NT_BS_OTHER_TAXES,339,2,VNĐ,  - Các loại thuế khác,11889368.0
2025,NT_BS_OTHER_FEES_CHARGES,340,2,VNĐ,"  - Các khoản phí, lệ phí khác",26970228.0
2025,NT_BS_ADVANCES_ON_SALARY_DURING_THE_PERIOD_OF_TAKING_LEAVE,346,2,VNĐ,  - Trích trước CP lương nghỉ phép,0.0
2025,NT_BS_EXPENSES_FOR_MAJOR_REPAIR_TO_FIXED_ASSETS,347,2,VNĐ,  - Chi phí SCL TSCĐ,0.0
2025,NT_BS_EXPENSES_DURING_THE_PERIOD_OF_CESSATION_OF_BUSINESS_ACTIVITIES,348,2,VNĐ,  - Chi phí trong thời gian ngừng KD,0.0
2025,NT_BS_BANK_LOANS,355,2,VNĐ,  - Vay ngân hàng,2266130618919.0
2025,NT_BS_LOANS_FROM_OTHER_LENDERS,356,2,VNĐ,  - Vay đối tượng khác,0.0
2025,NT_BS_ISSUED_BONDS,357,2,VNĐ,  - Trái phiếu phát hành,0.0
2025,NT_BS_OTHER_LONGTERM_LIABILITIES,359,2,VNĐ,  - Nợ dài hạn khác,0.0
2025,NT_BS_CAPITAL_CONTRIBUTED_BY_THE_STATE,441,2,VNĐ,  - Vốn góp của nhà nước,0.0
2025,NT_BS_CAPITAL_CONTRIBUTED_BY_OTHER_ENTITIES,442,2,VNĐ,  - Vốn đầu tư của đối tượng khác,0.0
2025,NT_IS_REVENUE_DEDUCTIONS,483,2,VNĐ,  - Các khoản giảm trừ doanh thu,91089645931.0
2025,NT_IS_NET_SALES,484,2,VNĐ,  - Doanh thu,14899234663086.0
2025,NT_IS_LABOR_COSTS,514,2,VNĐ,  - Chi phí nhân công,306618382769.0
2025,NT_IS_SALES_OF_MERCHANDISE_GOODS,523,2,VNĐ,  - Doanh thu bán hàng,14898406756817.0
2025,NT_IS_SALE_FROM_SERVICES,524,2,VNĐ,  - Doanh thu cung cấp dịch vụ,827906269.0
2025,NT_IS_SALE_FROM_CONSTRUCTION_CONTRACTS,525,2,VNĐ,  - Doanh thu hợp đồng xây dựng,0.0
2025,NT_IS_TRADE_DISCOUNTS,526,2,VNĐ,  - Chiết khấu thương mại,74682569388.0
2025,NT_IS_REDUCTIONS_IN_PRICES_OF_GOODS_SOLD,527,2,VNĐ,  - Giảm giá hàng bán,5287832321.0
2025,NT_IS_SALES_RETURNS,528,2,VNĐ,  - Hàng bán bị trả lại,11119244222.0
2025,NT_IS_VAT_PAYABLE,529,2,VNĐ,  - Thuế GTGT phải nộp,0.0
2025,NT_IS_SPECIAL_SALES_TAX,530,2,VNĐ,  - Thuế tiêu thụ đặc biệt,0.0
2025,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0
