Quarter,GPR,GPRT,GPRA,GPRC_VNM,GPRHC_VNM,GPR_per100,GPRT_per100,GPRA_per100
2019Q4,81.73166910807292,95.33637237548828,62.110155741373696,0.03772644015649954,0.1273129259546598,0.8173166910807292,0.9533637237548828,0.621101557413737
2020Q1,98.6388448079427,125.03229522705078,67.0799929300944,0.03933120518922806,0.1404221753279368,0.986388448079427,1.2503229522705077,0.670799929300944
2020Q2,69.69149271647136,83.66096496582031,46.54922612508138,0.036645752067367234,0.11952259143193562,0.6969149271647136,0.8366096496582032,0.46549226125081383
2020Q3,70.77223714192708,93.3349126180013,38.074930826822914,0.00897875272979339,0.029423781670629978,0.7077223714192707,0.933349126180013,0.38074930826822917
2020Q4,70.07264200846355,87.8347676595052,45.579938888549805,0.010504093486815691,0.034446180487672486,0.7007264200846355,0.8783476765950521,0.45579938888549804
2021Q1,76.66475677490234,97.93706766764323,48.01076889038086,0.03873325946430365,0.025990854017436504,0.7666475677490234,0.9793706766764323,0.4801076889038086
2021Q2,85.10015869140625,107.63878122965495,55.61618296305338,0.057017930472890534,0.0659325582285722,0.8510015869140625,1.0763878122965496,0.5561618296305338
2021Q3,76.20142873128255,86.42840830485027,65.04632186889648,0.11688472951451938,0.12969564149777094,0.7620142873128255,0.8642840830485027,0.6504632186889648
2021Q4,90.31460062662761,123.5397466023763,49.51557922363281,0.026799185822407406,0.031015146523714066,0.9031460062662761,1.235397466023763,0.4951557922363281
2022Q1,224.59630839029947,307.9356689453125,139.80856450398764,0.06709003448486328,0.06889690458774567,2.2459630839029945,3.079356689453125,1.3980856450398764
2022Q2,154.70296732584634,183.02069091796875,146.4566167195638,0.07722964137792587,0.12909835577011108,1.5470296732584634,1.8302069091796875,1.464566167195638
2022Q3,127.34195200602214,156.97925313313803,105.87512715657552,0.05292945976058642,0.05738807345430056,1.2734195200602214,1.5697925313313803,1.0587512715657552
2022Q4,123.69154612223308,149.15646107991537,107.0432840983073,0.05947138493259748,0.07738526910543442,1.2369154612223308,1.4915646107991538,1.070432840983073
2023Q1,110.21379852294922,128.3857854207357,94.80424499511719,0.05771271574000517,0.08133002805213134,1.1021379852294921,1.2838578542073569,0.9480424499511719
2023Q2,108.60209401448567,123.34828440348308,93.76225280761719,0.07855637868245442,0.10925098260243733,1.0860209401448566,1.2334828440348309,0.9376225280761719
2023Q3,102.40825907389323,122.35679372151692,81.27965799967448,0.0974540114402771,0.08656854430834453,1.0240825907389324,1.2235679372151693,0.8127965799967448
2023Q4,165.6208699544271,161.57093302408853,195.10738118489584,0.07492807880043983,0.1139061873157819,1.6562086995442709,1.6157093302408854,1.9510738118489583
2024Q1,146.72833251953125,134.20681508382162,177.1554412841797,0.05451598515113195,0.060452076916893326,1.4672833251953126,1.3420681508382162,1.7715544128417968
2024Q2,135.8540013631185,142.619384765625,136.29446665445963,0.0918282816807429,0.09401294340689977,1.358540013631185,1.42619384765625,1.3629446665445963
2024Q3,121.24290720621745,118.00077056884766,131.94812774658203,0.05686497067411741,0.06682910397648811,1.2124290720621744,1.1800077056884766,1.3194812774658202
2024Q4,133.9857635498047,131.94027709960938,145.02033233642578,0.05518339263896147,0.060768451541662216,1.339857635498047,1.3194027709960938,1.4502033233642577
2025Q1,142.03828938802084,150.51053873697916,136.70484670003256,0.04600313538685441,0.0235841969648997,1.4203828938802083,1.5051053873697915,1.3670484670003256
2025Q2,177.06434631347656,217.8619588216146,155.13958231608072,0.12506445993979773,0.14150928457578024,1.7706434631347656,2.178619588216146,1.5513958231608072
2025Q3,133.1662343343099,153.00627644856772,118.75629170735677,0.09447985887527466,0.0912305936217308,1.331662343343099,1.5300627644856772,1.1875629170735678
2025Q4,129.96845499674478,143.6635004679362,121.12643432617188,0.04228418692946434,0.04732683797677358,1.2996845499674479,1.436635004679362,1.2112643432617187
