month,GPR,GPRT,GPRA,GPRC_VNM,GPRHC_VNM,Quarter
2019-10-01,97.83673095703125,121.31104278564453,69.96658325195312,0.029429076239466667,0.10054582357406616,2019Q4
2019-11-01,73.07838439941406,84.5873031616211,53.03253173828125,0.035211268812417984,0.12251148372888565,2019Q4
2019-12-01,74.27989196777344,80.11077117919922,63.33135223388672,0.04853897541761398,0.15888147056102753,2019Q4
2020-01-01,138.4209442138672,190.8443603515625,81.65093994140625,0.05294506996870041,0.1885310262441635,2020Q1
2020-02-01,75.95555877685547,87.1624526977539,56.68605041503906,0.022291574627161026,0.08215576410293579,2020Q1
2020-03-01,81.54003143310547,97.09007263183594,62.90298843383789,0.04275697097182274,0.15057973563671112,2020Q1
2020-04-01,69.33940124511719,81.76082611083984,47.59123229980469,0.027853859588503838,0.09079903364181519,2020Q2
2020-05-01,68.50721740722656,83.35546112060547,42.29555892944336,0.04055515676736832,0.1301330178976059,2020Q2
2020-06-01,71.22785949707031,85.86660766601562,49.760887145996094,0.04152823984622955,0.1376357227563858,2020Q2
2020-07-01,66.47328186035156,88.73797607421875,36.25208282470703,0.01800261065363884,0.05907546728849411,2020Q3
2020-08-01,65.46604919433594,90.00911712646484,28.454627990722656,0.004452557768672705,0.014281634241342545,2020Q3
2020-09-01,80.37738037109375,101.25764465332031,49.51808166503906,0.0044810897670686245,0.01491424348205328,2020Q3
2020-10-01,76.08316802978516,97.65258026123047,42.68144226074219,0.008436326868832111,0.028204767033457756,2020Q4
2020-11-01,70.06746673583984,79.03644561767578,62.31394577026367,0.018354518339037895,0.05966586992144585,2020Q4
2020-12-01,64.06729125976562,86.81527709960938,31.744428634643555,0.004721435252577066,0.015467904508113861,2020Q4
2021-01-01,77.418701171875,98.47562408447266,48.2874870300293,0.03980715572834015,0.014345143921673298,2021Q1
2021-02-01,73.95680236816406,94.48355865478516,46.326778411865234,0.06765899807214737,0.04878842085599899,2021Q1
2021-03-01,78.61876678466797,100.85202026367188,49.41804122924805,0.008733624592423439,0.014838997274637222,2021Q1
