symbol,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
KBC,0,1,0,0,0
KDC,0,0,0,0,0
KDH,0,1,0,0,0
KDM,0,0,0,0,0
KHP,0,0,0,0,0
KHS,0,0,0,0,0
KKC,1,0,1,1,0
KMR,0,0,0,0,0
KMT,1,0,0,1,0
KOS,0,0,0,0,0
KSB,0,0,0,0,0
KSD,0,0,0,0,0
KST,1,0,0,0,0
KTS,0,0,0,0,0
L10,1,0,1,1,0
L14,0,0,0,0,0
L18,1,0,0,1,1
LAS,1,0,1,0,0
LBE,0,0,0,0,0
LBM,0,0,0,0,0
LCD,1,1,1,0,0
LCG,1,0,0,0,0
LDG,0,1,0,0,0
LDP,1,0,1,0,1
LGC,0,0,0,0,0
LGL,1,1,1,1,0
LHC,0,0,0,0,0
LHG,0,0,0,0,0
LIG,1,0,0,1,0
LIX,0,0,0,0,0
LM8,1,1,1,1,0
LSS,0,0,0,0,0
MAC,0,0,0,0,0
MAS,0,0,0,0,0
MBB,0,0,0,0,0
MBG,0,0,0,0,0
MBS,0,0,0,0,0
MCC,0,0,0,0,0
MCF,0,0,0,0,0
MCO,1,0,0,1,0
MCP,0,0,0,0,0
MDC,0,0,0,0,0
MDG,0,0,0,0,0
MEL,1,1,1,1,0
MHC,0,0,0,0,0
MKV,0,0,0,0,0
MSH,1,0,0,0,1
MSN,0,0,0,0,0
MST,0,0,0,0,0
MWG,1,1,1,0,1
NAF,0,0,0,0,0
NAG,1,0,1,0,0
NAP,0,0,0,0,0
NAV,0,0,0,0,0
NBB,1,1,1,0,0
NBC,0,0,0,0,0
NBP,0,0,0,0,0
NBW,0,0,0,0,0
NCT,0,0,0,0,0
NDN,1,0,1,0,0
NDX,1,0,0,1,0
NET,1,0,0,0,0
NFC,0,0,0,0,0
NHC,0,0,0,0,0
NHH,0,0,0,0,0
NKG,1,0,1,0,0
NLG,0,1,0,0,0
NNC,0,0,0,0,0
NRC,0,0,0,0,0
NSH,1,0,1,1,0
NST,1,0,1,0,1
NT2,0,0,0,0,0
NTH,0,0,0,0,0
NTL,0,1,0,0,0
NTP,0,0,0,0,0
NVB,0,0,0,0,0
NVL,0,1,0,0,0
NVT,0,0,0,0,0
OCH,0,0,0,0,0
OGC,1,0,1,0,0
ONE,1,1,1,1,0
OPC,0,0,0,0,0
PAC,1,0,0,0,1
PBP,0,0,0,0,0
PC1,0,0,0,0,0
PCE,0,0,0,0,0
PCT,0,0,0,0,0
PDB,0,0,0,0,0
PDN,0,0,0,0,0
PDR,0,0,0,0,0
PEN,1,0,1,1,0
PET,1,0,0,1,0
PGC,1,0,0,0,0
PGD,1,0,0,1,0
PGI,1,0,0,0,0
PGN,1,0,0,0,1
PGS,1,0,0,0,0
PGT,0,0,0,0,0
PHC,1,1,1,1,0
PHN,0,0,0,0,0
PHR,0,0,0,0,0
PIA,0,0,0,0,0
PIC,0,0,0,0,0
PIT,1,0,1,0,0
PJC,1,0,0,1,1
PJT,0,0,0,0,0
PLC,1,0,0,0,1
PLP,1,1,1,1,0
PLX,1,0,0,1,1
PMB,0,0,0,0,0
PMC,0,0,0,0,0
PMG,0,0,0,0,0
PMP,1,0,1,1,0
PMS,1,0,0,1,0
PNC,1,0,1,0,0
PNJ,0,0,0,0,0
POT,0,0,0,0,0
POW,0,0,0,0,0
PPC,0,0,0,0,0
PPE,0,0,0,0,0
PPP,0,0,0,0,0
PPS,1,0,1,0,0
PPY,1,0,0,1,1
PRC,0,0,0,0,0
PSC,0,0,0,0,0
PSD,1,1,1,1,0
PSE,0,0,0,0,0
PSI,0,0,0,0,0
PSW,0,0,0,0,0
PTB,1,0,0,0,1
PTC,0,0,0,0,0
PTD,1,1,1,0,0
PTI,1,0,0,0,0
PTL,0,0,0,0,0
PTS,0,0,0,0,0
PV2,0,0,0,0,0
PVB,0,0,0,0,0
PVC,1,0,0,1,0
PVD,0,0,0,0,0
PVG,1,0,0,1,0
PVI,1,0,0,0,0
PVS,0,0,0,0,0
PVT,0,0,0,0,0
QCG,1,1,1,0,0
QHD,0,0,0,0,0
QST,1,0,0,0,1
QTC,0,1,0,0,0
RAL,1,0,1,0,1
RCL,1,0,1,0,0
REE,0,0,0,0,0
S4A,0,0,0,0,0
S55,0,0,0,0,0
S99,0,0,0,0,0
SAB,0,0,0,0,0
SAF,0,0,0,0,0
SAM,0,0,0,0,0
SAV,1,0,0,0,0
SBA,0,0,0,0,0
SBT,1,0,0,0,1
SBV,0,0,0,0,0
SC5,1,1,1,1,0
