symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
GMD,0.1449913951233998,-0.7948385302632314,-0.8434683499050594,-0.3433880640105156,-0.5909030578425998,1,0,0,1,0,0,0,0,0,-0.6498471351398316,0,0
GSP,-0.2207283480251258,-0.6253644464399589,-0.7794503705662667,-0.0157582778643799,-0.5551353234498344,0,0,0,1,0,0,0,0,0,-0.8460927944650847,0,0
GVR,-0.1134438811330051,-0.6693745204455254,-0.6032334370216136,-0.3782986439209757,0.5309268073125766,0,0,0,1,1,0,0,0,0,-0.7828184015785305,0,0
HAG,2.0047317648448715,1.3572688805313326,1.4760708472900765,0.4139803704653046,-0.6259081550766185,1,1,1,1,0,1,1,1,1,3.362000645376204,1,1
HAH,0.8284114361631358,0.4951320431580634,0.0633028786329774,0.7890288362650707,-0.605152964279033,1,1,1,1,0,1,0,1,1,1.323543479321199,1,1
HAP,-0.2972834990834054,-0.1839510515604934,-0.2303733630873905,-0.1776078265884249,-0.6282513803062202,0,0,0,1,0,0,0,0,0,-0.4812345506438988,0,0
HAR,0.7343790418178692,0.2168585530990307,-0.2556086268830583,0.8179358367544916,-0.6356721766832065,1,1,0,1,0,1,0,1,1,0.9512375949168999,1,1
HAS,0.1594099538031652,-0.0336956216132238,-0.1782490108694291,0.2189830342752326,-0.5915010124017642,1,1,0,1,0,1,0,0,0,0.1257143321899414,0,0
HAX,0.9798300425390608,0.9270118588980992,0.5772663823392044,0.7351809232429113,-0.6201582660040813,1,1,1,1,0,1,0,1,1,1.90684190143716,1,1
HBC,1.265304577276466,1.51825325595731,0.2406719617507098,2.049443393558213,-0.6299232947969632,1,1,1,1,0,1,0,1,1,2.783557833233776,1,1
HCC,-0.2742583407216196,-0.6318165720333212,-0.7714558940337889,-0.0188861013594989,-0.5403171217563726,0,0,0,1,0,0,0,0,0,-0.9060749127549408,0,0
HCM,-0.733672117803501,-0.7835173443527085,-0.891462450469347,-0.2575070569952965,-0.6408906403626901,0,0,0,1,0,0,0,0,0,-1.5171894621562095,0,0
HDA,0.434283407152687,0.185249523299523,-0.0809025475124341,0.4848827519531109,-0.5865717801820549,1,1,1,1,0,1,0,1,0,0.61953293045221,0,0
HDC,1.6931915341556898,1.5451722773637342,0.6593663408586287,1.495974150355014,-0.6294145375757794,1,1,1,1,0,1,0,1,1,3.238363811519424,1,1
HDG,0.6673457524157875,-0.3122923806082441,-0.5878425542490344,0.3949588419001194,-0.5146191764524256,1,0,0,1,0,0,0,1,1,0.3550533718075434,0,1
HHP,1.6592718129810777,0.998919952020407,1.649903406325742,-0.140973819277844,-0.6257037154451282,1,1,1,1,0,1,1,0,1,2.658191765001485,1,0
HID,0.4243093216373047,-0.2864134624715338,-0.701456221554902,0.7401451868004238,-0.6346012556018284,1,0,0,1,0,0,0,1,0,0.1378958591657709,0,1
HII,1.053300606552309,0.942081956217705,0.5739673235437103,0.7526325826529217,-0.628333455921494,1,1,1,1,0,1,0,1,1,1.995382562770014,1,1
HLD,1.0496423409764575,1.0558463552269486,0.5809587319258384,0.8957468562426065,-0.6290671387434827,1,1,1,1,0,1,0,1,1,2.105488696203406,1,1
HMC,-0.5946693571824242,-0.7152784864504543,-0.7950772422497187,-0.210968903508112,-0.5815116115542769,0,0,0,1,0,0,0,0,0,-1.3099478436328785,0,0
HND,-1.5510832072197438,-0.8542012545470014,-0.7244014513480772,-0.5706070454299997,2.7847074250703325,0,0,0,0,1,0,0,0,0,-2.4052844617667453,0,0
HPG,0.6089082311320121,0.7914119371509672,1.151335724503725,-0.1498414232403875,0.6204691253437253,1,1,1,1,1,1,1,0,0,1.4003201682829793,1,0
HQC,1.3660773615081425,1.7951815236982846,0.5616589340792896,2.0518829556357734,-0.6300575408125679,1,1,1,1,0,1,0,1,1,3.161258885206427,1,1
HSG,1.1143973332319077,1.3451420775973608,1.5360951283589682,0.2318522831053107,-0.5755644300936685,1,1,1,1,0,1,1,1,1,2.4595394108292684,1,1
HT1,-0.2978590103899795,-0.3050088977566666,-0.280943188758155,-0.2664308553397888,0.6480802948076518,0,0,0,1,1,0,0,0,0,-0.6028679081466461,0,0
HTG,0.0320944599616402,0.4077296283861337,0.346476189203892,0.2379562550334532,-0.5019710985626627,1,1,1,1,0,1,0,0,0,0.4398240883477739,0,0
HTI,0.1125533984166227,-0.4648174507488889,-0.4730606122850719,-0.3505804944440731,-0.5589112428138956,1,0,0,1,0,0,0,0,0,-0.3522640523322662,0,0
HTN,1.4865001630702268,1.7769608185180253,0.7206672912593317,1.6753494197077857,-0.6342093837091204,1,1,1,1,0,1,1,1,1,3.263460981588252,1,1
HTP,-0.9413648829487058,-0.7703100300212726,-0.8804107392038172,-0.2812878529922324,-0.6544231613124677,0,0,0,1,0,0,0,0,0,-1.7116749129699784,0,0
HTV,-0.8684976156487698,-0.7706707316144527,-0.8626701977577455,-0.3069495745088767,-0.6442448043961167,0,0,0,1,0,0,0,0,0,-1.6391683472632225,0,0
HUB,-0.748371391680897,-0.5666748728255352,-0.7028924579563148,-0.0996063309247371,-0.6223922111813791,0,0,0,1,0,0,0,0,0,-1.3150462645064322,0,0
HVH,1.8468408205389853,1.4218640164448613,0.4244502174126685,1.689860182720909,-0.6295119035717919,1,1,1,1,0,1,0,1,1,3.2687048369838466,1,1
IBC,1.0945579615063286,0.8475826083673518,0.6324689262489523,0.5830763845089276,-0.6295058172777973,1,1,1,1,0,1,0,1,1,1.9421405698736804,1,1
IDI,1.6068573855814717,1.2942046786858295,1.361927272344546,0.330623658385928,-0.592186739249482,1,1,1,1,0,1,1,1,1,2.9010620642673012,1,1
IDJ,1.4899339110839085,1.3599797263106588,0.7014024543647931,1.108995197609248,-0.6368030210550618,1,1,1,1,0,1,1,1,1,2.8499136373945673,1,1
IDV,-0.6162684895594568,-0.4144121924630183,-0.4790105867918731,-0.3041716516453098,-0.5078132836428637,0,0,0,1,0,0,0,0,0,-1.030680682022475,0,0
IJC,0.6499999375927234,0.4471279585806877,-0.017881585236258,0.9097557681597998,-0.6229678192609868,1,1,1,1,0,1,0,1,1,1.097127896173411,1,1
ILB,-0.9585270527567124,-0.9763210592407912,-0.9993927947390094,-0.4561109544152776,-0.6321537523336178,0,0,0,0,0,0,0,0,0,-1.9348481119975036,0,0
IMP,-0.520886138170689,-0.4282083168155239,-0.4124144608502409,-0.3094526563979863,-0.5223809877387903,0,0,0,1,0,0,0,0,0,-0.9490944549862129,0,0
ITA,0.5879919161014236,-0.2500526104361148,-0.7901418649123304,0.956212195098444,-0.6234189136161246,1,0,0,1,0,0,0,1,1,0.3379393056653088,0,1
ITC,1.654058121954663,1.6376934956403837,0.2261674775789779,2.19887825988854,-0.6311058730615991,1,1,1,1,0,1,0,1,1,3.2917516175950467,1,1
KBC,1.3415718375057855,0.9575231668241317,-0.0077424460505323,1.8302327600870852,-0.6303369678378793,1,1,1,1,0,1,0,1,1,2.299095004329917,1,1
KDC,-0.5551461411355635,-0.2711219294096462,-0.2632901148977305,-0.2886608870182072,-0.3679603521492047,0,0,0,1,1,0,0,0,0,-0.8262680705452097,0,0
KDH,1.489039851028207,1.5734083052294558,0.4390822201120693,1.8946609954773907,-0.633765610803378,1,1,1,1,0,1,0,1,1,3.062448156257663,1,1
KHG,1.3459777353687699,1.0761424345824111,-0.1253137561986834,1.868045055716887,-0.6392128048085806,1,1,0,1,0,1,0,1,1,2.422120169951181,1,1
KHP,-0.4826295299464791,-0.7773592174440565,-0.8145833640534117,-0.3345824162288268,-0.5750761072530579,0,0,0,1,0,0,0,0,0,-1.2599887473905356,0,0
KLB,0.2409434087861927,-0.6076833350064536,-0.8914642924958075,0.0700904230645855,-0.6494514340603861,1,0,0,1,0,0,0,0,1,-0.3667399262202609,0,1
KMR,1.451951528255445,1.1050667657400217,1.5910772131416079,-0.1822682790259765,-0.6382622053278085,1,1,1,1,0,1,1,0,1,2.5570182939954667,1,0
KOS,1.6963621978939485,1.8238014473879754,0.7726485555570215,1.9314911273957383,-0.6261110251444908,1,1,1,1,0,1,1,1,1,3.520163645281924,1,1
KSB,-0.1705634106708349,-0.5751791288140828,-0.6474823808239747,-0.1987604597720684,-0.4892460333368457,0,0,0,1,0,0,0,0,0,-0.7457425394849177,0,0
KSD,-0.6545784637981207,-0.9176510146045024,-0.9259187570265893,-0.4410746171030351,-0.6485704327762259,0,0,0,0,0,0,0,0,0,-1.572229478402623,0,0
KSH,-0.2749309998086468,-0.7921752734258921,-0.831220977499051,-0.335206155373769,-0.6324183853722688,0,0,0,1,0,0,0,0,0,-1.0671062732345388,0,0
KST,-0.3762077498185616,-0.9540972896890085,-0.9310454253966358,-0.5081294254821493,-0.651349045534962,0,0,0,0,0,0,0,0,0,-1.33030503950757,0,0
KSV,-0.3853488051360745,-0.896861157382161,-0.8972547388071447,-0.4319344017864238,-0.6469990203613678,0,0,0,0,0,0,0,0,0,-1.2822099625182356,0,0
L14,-0.7421997799033067,-0.7613543251854105,-0.8415082530508948,-0.2646760723278044,-0.6073203474754192,0,0,0,1,0,0,0,0,0,-1.5035541050887173,0,0
L18,0.7869333816847564,0.6611671864920764,0.1909316889105554,0.7884413250552993,-0.6199584180288675,1,1,1,1,0,1,0,1,1,1.4481005681768328,1,1
LAS,-0.1894498882014322,-0.1265423083717036,-0.0990805408928909,-0.2267984545504752,-0.1116271036168034,0,0,1,1,1,0,0,0,0,-0.3159921965731358,0,0
LCG,1.2471146400548148,1.3192978823191421,0.3857713108416275,1.617419201234485,-0.6215592401313896,1,1,1,1,0,1,0,1,1,2.566412522373957,1,1
LDG,1.7718778372136564,2.1914764996999195,0.4504641873317143,3.076408163116941,-0.6351603128898281,1,1,1,1,0,1,0,1,1,3.963354336913576,1,1
LGC,0.2958159677393902,-0.757134570695452,-0.831425348509956,-0.2503697668500903,-0.4719264370184278,1,0,0,1,0,0,0,0,0,-0.4613186029560618,0,0
LHG,-0.4565589383974847,-0.6224633589115579,-0.7718663965052809,-0.0437082022196801,-0.6089563653329319,0,0,0,1,0,0,0,0,0,-1.0790222973090425,0,0
LIX,-0.6267893878906166,-0.3766180699586194,-0.3210042495054228,-0.4166314930824848,-0.5642637748864018,0,0,0,0,0,0,0,0,0,-1.003407457849236,0,0
LM7,0.2889125644680826,0.1135836911705956,-0.1211865529936047,0.4873843539479701,-0.6427555691261755,1,1,1,1,0,1,0,1,0,0.4024962556386782,0,0
LSS,0.5434053804155565,0.8002995838137649,1.1030179524579617,-0.0955717401070275,-0.6027160085587628,1,1,1,1,0,1,1,0,0,1.3437049642293214,1,0
MBB,0.5074891729154125,-0.5592752282531317,-0.8914706905225791,0.1186513641016107,-0.6488511536080081,1,0,0,1,0,0,0,0,1,-0.0517860553377192,0,1
MBS,-0.5306352036780494,-0.7491359632565191,-0.8629334587193437,-0.2040313803801174,-0.6403361359356018,0,0,0,1,0,0,0,0,0,-1.2797711669345685,0,0
MCH,-0.8753852550838198,-0.4740741086427433,-0.2962416858330669,-0.5082357214304887,-0.5269252328233467,0,0,0,0,0,0,0,0,0,-1.3494593637265631,0,0
MCP,-0.3473892502702757,-0.7878714492981508,-0.8111130399039021,-0.3520994843935172,-0.6194555972130704,0,0,0,1,0,0,0,0,0,-1.1352606995684266,0,0
MIG,-0.5500577615136621,-0.8200944765617931,-0.8777284190214222,-0.3449852131629131,-0.6425934143810629,0,0,0,1,0,0,0,0,0,-1.370152238075455,0,0
MSB,0.2648500333511316,-0.5989493163564476,-0.8914580574889306,0.0796941060553582,-0.6491145371349061,1,0,0,1,0,0,0,0,1,-0.334099283005316,0,1
MSH,0.9173951774805604,1.4110078811088286,1.7910341296890076,-0.0475432505972267,-0.634737473153443,1,1,1,1,0,1,1,0,1,2.328403058589389,1,0
MSN,0.8483142331551302,0.2884302886878136,0.0065354270377901,0.5253140891391805,-0.5065895961906814,1,1,1,1,0,1,0,1,1,1.1367445218429438,1,1
MWG,1.0032862738625168,1.326986266632022,1.257297659425115,0.4872097792313096,-0.5787205280705603,1,1,1,1,0,1,1,1,1,2.330272540494539,1,1
NAB,0.3535478376103236,-0.5850968843290711,-0.8914103440833895,0.0985548616787148,-0.6489536437246763,1,0,0,1,0,0,0,0,1,-0.2315490467187475,0,1
NAF,-0.2299269076069771,0.4498072975620018,0.7663746448084908,-0.052238663208882,-0.5933858369197625,0,1,1,1,0,0,1,0,0,0.2198803899550247,0,0
NAV,-0.6717284520443068,-0.8028786051356814,-0.8622482533344674,-0.3231190314124111,-0.642479676652136,0,0,0,1,0,0,0,0,0,-1.4746070571799882,0,0
NBB,1.6985482483452532,2.4702426311100094,0.5114764379525144,3.576368996788146,-0.6331523788280327,1,1,1,1,0,1,0,1,1,4.168790879455263,1,1
NCT,-0.6379821726374619,-1.083090331726412,-1.050019410038414,-0.3576550863148884,-0.546076812350186,0,0,0,1,0,0,0,0,0,-1.721072504363874,0,0
NHA,1.3479735126113582,1.665076674488828,0.5115403094949403,2.173277670990536,-0.6362066038685483,1,1,1,1,0,1,0,1,1,3.0130501871001863,1,1
NKG,1.2537693254607314,1.2591603421689428,1.5182809974074073,0.0629993166858546,-0.5726286128745305,1,1,1,1,0,1,1,0,1,2.512929667629674,1,0
NLG,1.572978381658944,2.144620246675605,0.5033163234584795,3.004143265137685,-0.6314165571288058,1,1,1,1,0,1,0,1,1,3.717598628334549,1,1
NNC,-0.5481010744756449,-0.5315629517780932,-0.6662474571495291,-0.0039629628634292,-0.5299250802184884,0,0,0,1,0,0,0,0,0,-1.0796640262537382,0,0
NRC,1.5140355746094747,1.5495226138191528,0.2342051429790595,2.112626858803767,-0.6389375552973289,1,1,1,1,0,1,0,1,1,3.0635581884286274,1,1
NSC,-0.6131659207844564,-0.4364189646324086,-0.444048590412555,-0.3671404134783897,-0.5586470602241038,0,0,0,1,0,0,0,0,0,-1.049584885416865,0,0
NTP,-0.0971250239696263,0.0313435018113249,0.3204038586808741,-0.5193752970068664,-0.3937344520912653,0,1,1,0,1,0,1,0,0,-0.0657815221583014,0,0
NVB,0.7294660374569018,-0.5480380933583137,-0.8911850632049753,0.1559046145833384,-0.6489593139409585,1,0,0,1,0,0,0,0,1,0.1814279440985881,0,1
NVT,-1.0065968849537412,-0.9284440658034712,-0.9286069153064044,-0.450053108205956,-0.6321233499482264,0,0,0,0,0,0,0,0,0,-1.9350409507572124,0,0
OCB,0.3831089483729955,-0.5824786088900569,-0.8913502509646067,0.1047994499647012,-0.6486803763234077,1,0,0,1,0,0,0,0,1,-0.1993696605170614,0,1
OGC,0.3528869066864133,-0.527817329890165,-0.8840043489900673,0.2202515316645817,-0.6483511304103362,1,0,0,1,0,0,0,0,1,-0.1749304232037517,0,1
ORS,-0.6384664318679921,-0.8187140222337472,-0.9047181100433539,-0.3175053018584475,-0.6460587091548388,0,0,0,1,0,0,0,0,0,-1.4571804541017394,0,0
PAC,0.0926521916573543,0.5022213817913738,0.4496018500379772,0.1682373470155153,-0.3644445442602604,1,1,1,1,1,1,0,0,0,0.594873573448728,0,0
PAN,0.2022942564595187,0.3591500237938386,0.344256908320061,0.1110216644481572,-0.5652668987625316,1,1,1,1,0,1,0,0,0,0.5614442802533573,0,0
PC1,0.6833451694480293,0.5224468259199698,-0.1747212722366954,1.2489738591152948,-0.5554882460155176,1,1,0,1,0,1,0,1,1,1.2057919953679992,1,1
PDR,1.9141826847599364,2.4200323203876406,0.8119618046073361,3.180955502223353,-0.6354224433555407,1,1,1,1,0,1,1,1,1,4.334215005147577,1,1
PET,0.3081085947149964,0.8794687740372176,0.4949097145038395,0.7994633470904768,-0.6168143162660602,1,1,1,1,0,1,0,1,0,1.187577368752214,1,0
PGC,-0.0957228257329403,-0.514531336818056,-0.5646011526576147,-0.3411671681429865,-0.4777737366230141,0,0,0,1,0,0,0,0,0,-0.6102541625509963,0,0
PGD,-0.6285058083174107,-0.9410330815072199,-0.9524108560532852,-0.4387825073351032,-0.6443030454585409,0,0,0,0,0,0,0,0,0,-1.5695388898246307,0,0
PGS,-0.5152946318237028,-0.8125541109633873,-0.8633707561010731,-0.3408423677714109,-0.6325785282819204,0,0,0,1,0,0,0,0,0,-1.32784874278709,0,0
PIT,-0.4800242909116304,-0.3559377030721203,-0.4518663188666412,-0.2889437616325109,-0.6037650545895997,0,0,0,1,0,0,0,0,0,-0.8359619939837507,0,0
PLC,0.2704971742295275,-0.1283877833399431,-0.1601006583120998,-0.2407363496428644,-0.071341756494269,1,0,1,1,1,0,0,0,0,0.1421093908895844,0,0
PLP,0.8916484607132724,0.9865003480649346,1.4829083973019501,-0.1211958153464724,-0.6382975397579682,1,1,1,1,0,1,1,0,1,1.878148808778207,1,0
PMG,-0.4080929699422976,-0.7416695299563042,-0.8346770923064884,-0.227988602365766,-0.6070157434907598,0,0,0,1,0,0,0,0,0,-1.1497624998986018,0,0
PNJ,0.2832276720674916,0.3159790408766488,0.5460677747500338,-0.2283860258955198,-0.6062303043220326,1,1,1,1,0,1,0,0,0,0.5992067129441404,0,0
POM,1.167588477765413,1.178841289143623,1.2312560364746666,0.396291057017054,-0.5670097306648791,1,1,1,1,0,1,1,1,1,2.346429766909036,1,1
POW,0.3088406087739918,-0.455352462588166,-0.5770954558745902,-0.1365032212572424,-0.1033474222495601,1,0,0,1,1,0,0,0,0,-0.1465118538141742,0,0
PPC,-0.898847905372295,-1.1575899275439214,-1.0717433704701007,-0.4495453390291293,0.9761167849394236,0,0,0,0,1,0,0,0,0,-2.0564378329162164,0,0
PTB,0.545748261872042,0.9412500561129132,1.2399077487794977,0.0322090757649401,-0.453010215015796,1,1,1,1,0,1,1,0,0,1.4869983179849552,1,0
PTI,-0.6283376067465857,-0.8419811321532562,-0.8846407149637243,-0.378893463492419,-0.6456568518823343,0,0,0,1,0,0,0,0,0,-1.470318738899842,0,0
PVB,0.5390713644849345,0.3671687590454125,0.3280893716149403,0.1723574621636915,-0.626312357351547,1,1,1,1,0,1,0,0,0,0.906240123530347,1,0
PVC,-0.4694900854534303,-0.7501235687560794,-0.844672283860886,-0.2344020533311736,-0.6197784997189757,0,0,0,1,0,0,0,0,0,-1.2196136542095098,0,0
PVD,0.3940839866444595,-0.572259374045827,-0.7564855243978105,-0.1013031048633038,-0.5298882545586567,1,0,0,1,0,0,0,0,0,-0.1781753874013675,0,0
PVI,-0.5143865657846121,-0.8128467387422864,-0.8663285403545693,-0.334838067724913,-0.6413603275669451,0,0,0,1,0,0,0,0,0,-1.3272333045268985,0,0
PVS,0.0721875610611534,-0.5542422292112764,-0.6997254534535435,-0.0659333926797428,-0.6158247939787737,1,0,0,1,0,0,0,0,0,-0.482054668150123,0,0
PVT,-0.4176780090016175,-0.6448812530072803,-0.7440606815549774,-0.1402734855331892,-0.5180881412238216,0,0,0,1,0,0,0,0,0,-1.062559262008898,0,0
QCG,1.968289232049387,2.633125469951743,0.8070523329474025,3.575619113585226,-0.6359966262027029,1,1,1,1,0,1,1,1,1,4.60141470200113,1,1
RAL,-0.2056327666868103,0.4629104889035738,0.815102593333628,-0.0977575423085107,-0.5905962045829323,0,1,1,1,0,0,1,0,0,0.2572777222167635,0,0
REE,-0.4164777145896157,-0.8351349585934018,-0.8717140682180074,-0.3535994070875365,-0.2453042699476833,0,0,0,1,1,0,0,0,0,-1.2516126731830176,0,0
S55,0.8224473924646365,0.5507661609674286,0.0783444837533257,0.820629706059191,-0.6307548607597157,1,1,1,1,0,1,0,1,1,1.3732135534320651,1,1
S99,1.2603860073422534,1.3001202534441783,0.147817627964809,1.891320092946098,-0.6340749632015685,1,1,1,1,0,1,0,1,1,2.5605062607864317,1,1
SAB,-1.0844199791294378,-0.3396449163757144,-0.0976538146321485,-0.4981330183483161,-0.2880847204078101,0,0,1,0,1,0,0,0,0,-1.4240648955051522,0,0
SAM,0.2861380678188739,-0.2656550336946027,-0.7614942168456763,0.8974472719232618,-0.6386347433878042,1,0,0,1,0,0,0,1,0,0.0204830341242711,0,1
SAV,-0.8641301396050806,-0.3004587379517625,-0.1059357079654497,-0.4550128640853546,-0.6044312729067021,0,0,1,0,0,0,0,0,0,-1.1645888775568431,0,0
SBA,-1.1917031946874908,-1.073914628083063,-1.0606941192741366,-0.3719942562565539,-0.0953952992165958,0,0,0,1,1,0,0,0,0,-2.265617822770554,0,0
SBT,0.9636414644562624,1.3128053661937118,1.6688944178339398,0.1303366014552836,-0.5705663569053041,1,1,1,1,0,1,1,0,1,2.2764468306499743,1,0
SCR,1.5284195386742054,1.5462539209681406,0.2847467740577735,2.102233726413969,-0.6361605075395449,1,1,1,1,0,1,0,1,1,3.074673459642346,1,1
SD5,0.9361627638601864,0.4780808289674045,-0.0919878987368702,1.057467072363319,-0.6293915834093702,1,1,1,1,0,1,0,1,1,1.4142435928275908,1,1
SD6,0.5672764543500707,0.5184376935015688,-0.0483790356157915,1.0893943898189286,-0.6341969260577626,1,1,1,1,0,1,0,1,0,1.0857141478516395,1,0
SD9,0.2022063277790939,-0.3408692422722979,-0.7256026381535385,0.6685454756046689,-0.6334990487016771,1,0,0,1,0,0,0,1,0,-0.138662914493204,0,1
SDT,1.1393873197788819,0.7886395506299001,-0.0025330490203314,1.5761395271548955,-0.633785620922107,1,1,1,1,0,1,0,1,1,1.928026870408782,1,1
SEA,-0.8679012949800168,-0.5612794871440322,-0.6965507802566761,-0.0633794289809887,-0.614647266139006,0,0,0,1,0,0,0,0,0,-1.429180782124049,0,0
SGC,-0.402204657669906,-0.6172175193016724,-0.7514720877483526,-0.0483776517608187,-0.6044865105237449,0,0,0,1,0,0,0,0,0,-1.0194221769715784,0,0
SGN,-0.7599227967145931,-0.9800128485128426,-0.9869890860012544,-0.4635528403941771,-0.5937674268383465,0,0,0,0,0,0,0,0,0,-1.7399356452274358,0,0
SGP,-0.6356137015174204,-0.5548631319275253,-0.6857455633660864,-0.0816314268198715,-0.6040842530685494,0,0,0,1,0,0,0,0,0,-1.1904768334449458,0,0
SGR,1.1084182680980668,1.108619033158741,0.1841105410976623,1.695792463638831,-0.6390141248482044,1,1,1,1,0,1,0,1,1,2.217037301256808,1,1
SHP,-1.0027304066567577,-1.0202873463038409,-1.013373066653449,-0.4499741927335157,0.6495421862684245,0,0,0,0,1,0,0,0,0,-2.0230177529605986,0,0
SHS,-0.5282106042190596,-0.7967494937323853,-0.9029070324754702,-0.2857513014594702,-0.6415964399027486,0,0,0,1,0,0,0,0,0,-1.324960097951445,0,0
SIP,-0.6615279648985198,-0.609375395730146,-0.781016157537125,-0.0202121893705514,-0.6165654975559203,0,0,0,1,0,0,0,0,0,-1.2709033606286657,0,0
SJS,1.901816342574848,2.494221541857491,0.8394625722071874,3.213943133322958,-0.6334045134865953,1,1,1,1,0,1,1,1,1,4.396037884432339,1,1
SKG,-0.1783361071499348,-0.8357944070155428,-0.8767507471723714,-0.3559469103693174,-0.6503909104439142,0,0,0,1,0,0,0,0,0,-1.0141305141654776,0,0
SMC,1.4558283721613068,1.5137483096433693,1.6178135608677508,0.3372353057258246,-0.6242916439340714,1,1,1,1,0,1,1,1,1,2.969576681804676,1,1
SPM,-0.4979734109339932,-0.5493007960044144,-0.6421444808293424,-0.2854920415283096,-0.6138208695364148,0,0,0,1,0,0,0,0,0,-1.0472742069384076,0,0
SRC,-0.3887075503629342,-0.2527524105052611,-0.2242945964638405,-0.3109398980902331,-0.354154560020135,0,0,0,1,1,0,0,0,0,-0.6414599608681953,0,0
SSC,-0.8807626199815421,-0.6444217761913439,-0.5799772368946437,-0.447705869882638,-0.5571067102754075,0,0,0,0,0,0,0,0,0,-1.525184396172886,0,0
ST8,0.6158266807976352,0.837564472220621,0.8604672229720871,0.3335729673735758,-0.6304784662629495,1,1,1,1,0,1,0,1,0,1.4533911530182563,1,0
STB,0.4718170427142468,-0.5776442907727035,-0.8914145142617663,0.1063693194317343,-0.6488425321938199,1,0,0,1,0,0,0,0,1,-0.1058272480584567,0,1
STK,0.9142191193255688,1.247589572808507,1.7682152076793847,-0.1581850131202156,-0.6385430500334966,1,1,1,1,0,1,1,0,1,2.1618086921340758,1,0
SVC,-0.3805521811526713,-0.2692092025870348,-0.2932047492501078,-0.2527730592946382,-0.579641621699958,0,0,0,1,0,0,0,0,0,-0.6497613837397062,0,0
SZC,-0.7051505804142548,-0.9415668799624243,-0.9642666842685144,-0.4017713135779905,-0.6275995419436676,0,0,0,0,0,0,0,0,0,-1.646717460376679,0,0
TBC,-0.7179699405387104,-0.9647373306840842,-0.9721393860071152,-0.4226620162260504,0.7147325244038532,0,0,0,0,1,0,0,0,0,-1.6827072712227946,0,0
TCB,0.4386603159322403,-0.5796283806054197,-0.891430210395516,0.109202006455973,-0.6491326976389082,1,0,0,1,0,0,0,0,1,-0.1409680646731794,0,1
TCM,0.6414203578081127,0.7803879752068334,1.3777525204226717,-0.1774786891012315,-0.6225254163639994,1,1,1,1,0,1,1,0,0,1.421808333014946,1,0
TCR,-0.4883804868140239,-0.6675979127619545,-0.7650384106633842,-0.1454335303465362,-0.5955861873119432,0,0,0,1,0,0,0,0,0,-1.1559783995759783,0,0
TDC,1.4940918119016766,1.5108827214708366,0.1030309521390542,2.210610094339338,-0.6319027494072293,1,1,1,1,0,1,0,1,1,3.004974533372513,1,1
TDP,0.3240541983020428,0.625191488500443,0.706122862969489,0.1548535859358295,-0.6268361908893506,1,1,1,1,0,1,0,0,0,0.9492456868024858,1,0
TDW,-1.497087680900211,-1.0823986275261894,-1.0655530045386763,-0.3565514688429697,-0.637623197270235,0,0,0,1,0,0,0,0,0,-2.5794863084264006,0,0
TEG,1.2063229538617144,0.3224287743991881,-0.1538101661033561,0.8741695203041345,-0.6388164538685183,1,1,1,1,0,1,0,1,1,1.5287517282609026,1,1
TGG,1.7811486849736462,1.748192917698022,0.6988138151429024,1.7399365543646426,-0.6398106694537341,1,1,1,1,0,1,1,1,1,3.529341602671668,1,1
THG,0.0615226490134778,0.5614082885804609,0.7988177280898901,-0.075942807494005,-0.5257889893810467,1,1,1,1,0,1,1,0,0,0.6229309375939387,0,0
TIP,-0.5530660646533625,-0.7765785783683744,-0.8076940485885643,-0.3412752444473276,-0.6179004949668592,0,0,0,1,0,0,0,0,0,-1.3296446430217369,0,0
TIX,-0.4829615782302557,-0.7414906137305279,-0.7877875585071742,-0.303420449533699,-0.626480608814863,0,0,0,1,0,0,0,0,0,-1.2244521919607836,0,0
TLG,-0.3893306817039116,-0.1120662625749423,0.0721995855597887,-0.500098339565814,-0.4953225281352767,0,1,1,0,0,0,1,0,0,-0.5013969442788539,0,0
TMB,-0.3555364713315417,-0.657339809853034,-0.7650296527950294,-0.2008567514370825,-0.5649934595390917,0,0,0,1,0,0,0,0,0,-1.0128762811845757,0,0
TMP,-0.8329183484648278,-1.0469384565552212,-1.0351075245643544,-0.4124392014768507,0.9321004542011626,0,0,0,0,1,0,0,0,0,-1.879856805020049,0,0
TMS,0.7598253235828647,0.0559469461402295,-0.3294068426017743,0.810180346863139,-0.568909671080576,1,1,0,1,0,1,0,1,1,0.8157722697230942,1,1
TNG,0.6819620280074353,1.0818554301558713,1.6207098452477093,-0.0567858642820109,-0.6254287050321913,1,1,1,1,0,1,1,0,0,1.7638174581633066,1,0
TNI,1.5282986166169683,1.3943440413863508,0.5129298590852293,1.4508960973727058,-0.6383244790776059,1,1,1,1,0,1,0,1,1,2.922642658003319,1,1
TPB,0.8004510316389238,-0.556868700860402,-0.8911137621490203,0.1359732762143764,-0.6484264341496745,1,0,0,1,0,0,0,0,1,0.2435823307785218,0,1
TRA,-0.5473905138456999,-0.3590510238148247,-0.3808141000844104,-0.3145872972041856,-0.6127232135417419,0,0,0,1,0,0,0,0,0,-0.9064415376605246,0,0
