event_date,trade_date,h,group,treated_car,control_car,diff,p,n_t,n_c
2025-11-17,2025-11-17 07:00:00,1,HighLiab_TopTercile,0.0011455496453579852,0.003446614199123812,-0.002301064553765827,0.40799080811343097,91,198
2025-11-17,2025-11-17 07:00:00,1,CashConversionTrap,0.006323752342126772,0.002289295761814579,0.004034456580312193,0.29609139559903275,31,258
2025-11-17,2025-11-17 07:00:00,1,DoubleExposure_TopTercile,0.0017524596588761032,0.0029200171077881764,-0.0011675574489120732,0.7572950787629816,49,240
2025-11-17,2025-11-17 07:00:00,1,FragileLowMarginFunding,0.005381094240872108,0.0024140610113047418,0.0029670332295673664,0.5947894177316995,30,259
2025-11-17,2025-11-17 07:00:00,1,AssetCommitmentMismatch,0.004065874662974907,0.0025605911418677104,0.001505283521107197,0.6624217147794332,31,258
2025-11-17,2025-11-17 07:00:00,5,HighLiab_TopTercile,0.006031149690836351,0.004081356782586005,0.0019497929082503461,0.7555535202892438,99,216
2025-11-17,2025-11-17 07:00:00,5,CashConversionTrap,0.004810452694834252,0.004680538813836331,0.00012991388099792105,0.9813721130831602,33,282
2025-11-17,2025-11-17 07:00:00,5,DoubleExposure_TopTercile,0.001366525103198849,0.005336985243061494,-0.003970460139862645,0.43668618011436594,51,264
2025-11-17,2025-11-17 07:00:00,5,FragileLowMarginFunding,0.006989924291639896,0.004407176907942783,0.002582747383697113,0.8449926795192938,35,280
2025-11-17,2025-11-17 07:00:00,5,AssetCommitmentMismatch,0.006223249794690095,0.004521246964668879,0.001702002830021216,0.8949363585829773,32,283
2025-11-17,2025-11-17 07:00:00,20,HighLiab_TopTercile,0.02825747821649933,0.01077033759166887,0.017487140624830463,0.2304105051007366,102,220
2025-11-17,2025-11-17 07:00:00,20,CashConversionTrap,0.012306406758582043,0.01676687067549092,-0.0044604639169088765,0.7973979996930092,33,289
2025-11-17,2025-11-17 07:00:00,20,DoubleExposure_TopTercile,0.015483061467433295,0.016468955007198336,-0.0009858935397650415,0.9445874558772781,52,270
2025-11-17,2025-11-17 07:00:00,20,FragileLowMarginFunding,0.025643306976315113,0.015134888101757829,0.010508418874557285,0.5934545563447899,36,286
2025-11-17,2025-11-17 07:00:00,20,AssetCommitmentMismatch,0.00812771371544301,0.017212586928813473,-0.009084873213370462,0.6577131248184572,32,290
