shock,beta_per_1sd_shock,percentage_point_change_ocfa,beta_as_share_of_overall_mean,beta_as_pct_of_overall_mean,beta_in_overall_outcome_sd,beta_as_share_of_highliab_mean,beta_as_pct_of_highliab_mean,beta_in_highliab_outcome_sd
Threat,-0.00487088516516877,-0.487088516516877,-0.3845123540551574,-38.45123540551574,-0.03256140465529162,-0.6154044364482538,-61.54044364482538,-0.04205638843506576
Acts,-0.002129544328041889,-0.21295443280418888,-0.1681082749590594,-16.81082749590594,-0.014235801552580937,-0.2690539773882733,-26.90539773882733,-0.01838699546650421
