term,beta,se,p
Threat x HighLiab,-0.00487088516516877,0.005274190370356687,0.3557471774519094
Acts x HighLiab,-0.002129544328041889,0.003702571245719332,0.5651979889522702
Threat minus Acts,-0.0027413408371268814,0.00891913821304156,0.7585732520765861
