group,n,firms,mean_ocfa,median_ocfa,sd_ocfa,p25_ocfa,p75_ocfa
All,13473,567,0.012667694844650046,0.010157574541407786,0.14959075680960196,-0.02099375607987452,0.04673669147382762
HighLiab=1,4505,190,0.007914933459499585,0.004826917716788322,0.11581796122815732,-0.03159938071390438,0.04457543610652751
HighLiab=0,8968,377,0.015055204884804245,0.012640060458324973,0.16390585738030192,-0.015553088352239319,0.0480637112964272
