n,firms,beta,se,p,r2_within,cov,spec,group
7749,325,-0.0018493515938890134,0.001592505485049439,0.2455637704267739,0.002997779659065003,twoway,Acts_locked_all378,HighLiab_TopTercile
7749,325,-0.0018493515938890134,0.0009028386781762677,0.040558544638904515,0.002997779659065003,dk,Acts_locked_all378,HighLiab_TopTercile
7749,325,-0.0018493515938890134,0.0017289542640379837,0.2848181106017009,0.002997779659065003,entity,Acts_locked_all378,HighLiab_TopTercile
7749,325,-0.0008428912700488625,0.0025355690679705347,0.739576374549713,0.0031199884016053225,twoway,Threat_locked_all378,HighLiab_TopTercile
7749,325,-0.0008428912700488625,0.0011491034880781801,0.46326410781727345,0.0031199884016053225,dk,Threat_locked_all378,HighLiab_TopTercile
7749,325,-0.0008428912700488625,0.0017413039548337687,0.6283593760834714,0.0031199884016053225,entity,Threat_locked_all378,HighLiab_TopTercile
7749,325,-0.0005672105389097665,0.003329502399656686,0.86473250976952,0.0031087857505307515,twoway,DID_Post2022_locked_all378,HighLiab_TopTercile
7749,325,-0.0005672105389097665,0.0018232068384437749,0.755728824124724,0.0031087857505307515,dk,DID_Post2022_locked_all378,HighLiab_TopTercile
7749,325,-0.0005672105389097665,0.0036879561573284745,0.8777710121197717,0.0031087857505307515,entity,DID_Post2022_locked_all378,HighLiab_TopTercile
7749,325,-0.0008413864505253787,0.0017471535652282817,0.6301217362374234,0.0030933342056688184,twoway,Acts_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,-0.0008413864505253787,0.0010871565042432493,0.4389950558894591,0.0030933342056688184,dk,Acts_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,-0.0008413864505253787,0.0016948533988757274,0.6196014918349093,0.0030933342056688184,entity,Acts_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,0.0003523774305015922,0.002693753230315296,0.8959269452073979,0.0032188507622662454,twoway,Threat_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,0.0003523774305015922,0.0011240898893865722,0.75392638228413,0.0032188507622662454,dk,Threat_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,0.0003523774305015922,0.001679381615437802,0.8338094874635091,0.0032188507622662454,entity,Threat_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,0.0013560029156227194,0.003633855795429935,0.7090414295553615,0.003373037544964652,twoway,DID_Post2022_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,0.0013560029156227194,0.0018691027747594388,0.4681785091208064,0.003373037544964652,dk,DID_Post2022_diagnostic_overlap,HighLiab_TopTercile_overlap
7749,325,0.0013560029156227194,0.0036221481193490675,0.7081440336947149,0.003373037544964652,entity,DID_Post2022_diagnostic_overlap,HighLiab_TopTercile_overlap
2584,325,-0.0021780715390333143,0.0013695867317179403,0.11190476229651591,0.009605846033329812,twoway,PLACEBO_Fake2021_locked_all378,HighLiab_TopTercile
