term,beta,se,p
Threat_z_x_HL,-0.01620790690969785,0.004300999699229617,0.00016509783432749892
Threat_lag1_x_HL,0.01923163207849818,0.0051123383861933994,0.0001695095977332084
Threat_lag2_x_HL,-0.007971531869718097,0.003363142187640359,0.017791484662002865
Acts_z_x_HL,0.0014705460315409188,0.001662746435055452,0.37649417748963643
Acts_lag1_x_HL,-0.012020647888156304,0.003098886307707813,0.00010544946127932775
Acts_lag2_x_HL,0.0074894581590467,0.002836301955290294,0.008287579081447172
