shock,n,firms,quarters,beta,cluster_time_se,t_obs,B_requested,B_success,failures,wild_cluster_p_two_sided
Threat_z,13473,567,24,-0.0065111271294339915,0.0026687210357940055,-2.4397930851910052,999,999,0,0.067
Acts_z,13473,567,24,-0.005889746491737056,0.0014509790394185709,-4.059153393488831,999,999,0,0.003
