candidate_order,direction,group,primary_shock,beta_primary,p_primary,q_primary,did_beta,did_p,did_q,pretrend_joint_p,treated_firms,gate,asset_mismatch_q,asset_mismatch_pretrend_p,eligible,final_rank,selected
2,Acts × HighLiab — realization,HighLiab_TopTercile,Acts,-0.005889746491737056,7.815970093361102e-14,1.5631940186722204e-12,-0.009722626045573425,0.00040091645166362433,0.0020045822583181216,1.0,190,PASS,,,1,1,True
5,FragileFunding challenger,FragileLowMarginFunding,AI_GPR,-0.005744794608334522,0.0022489006105679277,0.014992670737119518,-0.010779345275489773,0.0044981462086335355,0.011245365521583839,1.0,105,PASS,0.6561166134013252,0.5180324840085774,1,2,False
1,Threat × HighLiab — anticipation,HighLiab_TopTercile,Threat,-0.0065111271294339915,0.013243372510630458,0.02037441924712378,-0.009722626045573425,0.00040091645166362433,0.0020045822583181216,1.0,190,PASS,,,1,3,False
3,Acts × CashConversionTrap,CashConversionTrap,Acts,-0.004826724058066944,0.01954982915810244,0.026066438877469917,-0.008557058610092804,0.033790404552797026,0.04223800569099628,0.015412466657784004,190,HOLD,,,0,4,False
4,Threat × DoubleExposure + Post2022 DID,DoubleExposure_TopTercile,Threat,-0.00673155004367586,0.04512434153338418,0.05640542691673023,-0.011455430647134588,0.02378276792079581,0.039637946534659685,1.0,99,HOLD,,,0,5,False
