report,item_id
cash_flow,CF_TRADING_ERROR_RECEIVABLES_CHANGE
cash_flow,CF_WELFARE_PAYABLES_CHANGE
income_statement,IS_GAINS_LOSS_FROM_REVALUATION_FIXED_ASSETS_BY_REASONABLE_VALUE_MODEL
income_statement,IS_GROSS_INSURANCE_OPERATING_PROFIT
income_statement,IS_INTEREST_EXPENSES_LOSSES_FROM_LOANS_AND_RECEIVABLES
income_statement,IS_INTEREST_INCOME_FROM_LOANS_AND_RECEIVABLES
income_statement,IS_NET_REVENUE
income_statement,IS_OPERATING_PROFIT
income_statement,IS_OPERATING_PROFIT_BEFORE_PROVISION_FOR_CREDIT_LOSSES
income_statement,IS_OTHER_REVENUE
income_statement,IS_PROFIT_FROM_INSURANCE_OPERATING
income_statement,IS_REINSURANCE_CESSION_REVENUE
income_statement,IS_REVENUE
income_statement,IS_REVENUE_DEDUCTIONS
income_statement,IS_REVENUE_FROM_BROKERAGE_SERVICES
income_statement,IS_REVENUE_FROM_ENTRUSTED_AUCTION_SERVICES
income_statement,IS_REVENUE_FROM_INVESTMENT_ADVISORY_SERVICES
income_statement,IS_REVENUE_FROM_PROPERTIES_INVESTMENT
income_statement,IS_REVENUE_FROM_PROPERTY_LEASE
income_statement,IS_REVENUE_FROM_SECURITIES_CUSTODY_SERVICES
income_statement,IS_REVENUE_FROM_SECURITIES_INVESTMENT_ADVISORY_SERVICES
income_statement,IS_REVENUE_FROM_SECURITIES_INVESTMENT_AND_CAPITAL_CONTRIBUTION
income_statement,IS_REVENUE_FROM_SHARE_ISSUE_GUARANTEE_AND_AGENCY_ACTIVITIES
income_statement,IS_TOTAL_NET_REVENUE_FROM_INSURANCE_BUSINESS
