symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
KHP,8,0.32731384598759683,-0.01247464666789299,0.617836631144833,0.005425202504918613,0,0,0,0,0
KHS,8,0.4512577652470323,0.37395072022087533,0.4176026521370596,0.02438459616669697,0,0,0,0,0
KKC,8,0.5467616829495562,0.6705478360635532,0.06782951514061672,-0.015445952933986786,1,1,1,1,0
KMR,8,0.33799885294093135,0.49695219264237656,0.36333024605599074,0.027904139539328243,0,1,0,0,0
KMT,8,0.822989073731941,0.6884605360441756,0.0737604862060163,0.002440475478309098,1,1,1,1,0
KOS,8,0.20953614995900277,0.7400009865914039,0.008123984618951051,0.045611284832095825,0,1,0,0,0
KSA,2,0.1968652057193333,0.5290688908901333,0.09150809046417686,-0.022601673757998056,0,1,0,0,0
KSB,8,0.26688015352516226,0.5361598832453989,0.06264983652770416,0.3515892244696266,0,1,0,0,0
KSD,8,0.02609561930575707,0.30783823195403187,0.49713604220940044,0.01974741615060371,0,0,0,0,0
KST,8,0.5572069896880203,0.4377369208299423,0.02188278311060282,0.042438727614294944,1,1,1,0,0
KTS,8,0.42919772822091096,0.28513844447346137,0.12902517289370377,0.01259505048927238,0,0,0,0,0
L10,8,0.6279336351751873,0.571961576686252,0.10114208906653283,0.01644812669428583,1,1,1,1,0
L14,8,0.2727472035800279,0.40928188698629087,0.035014483820752444,0.4137267318442136,0,0,0,0,0
L18,8,0.737154223815945,0.36568670092535793,0.1056857155006116,0.007165092405135852,1,0,0,1,0
LAS,8,0.550289547541655,0.6822172262084467,0.09569749214235013,0.021582248934015807,1,1,1,1,0
LBE,8,0.18537900709511823,0.44191999212098754,0.10041557043653139,0.02785633651922162,0,1,0,0,0
LBM,8,0.19539189570059112,0.23118794518278063,0.5032611013746445,0.1285086302190163,0,0,0,0,0
LCD,8,0.6401237741448622,0.6670626924583828,0.28589176599920707,0.024172651592417743,1,1,1,1,1
LCG,8,0.5968688049354272,0.4640535602160252,0.0838601867591865,0.09167195647015827,1,1,1,0,0
LDG,8,0.3935478163547882,0.5651157645760427,0.028980978892746284,0.531047848483871,0,1,0,0,0
LDP,8,0.5895107050098898,0.2623048858787017,0.3190921690880052,-0.02629121794537099,1,0,0,1,1
LGC,8,0.2027802738118088,0.14925387322359768,0.32572786575515156,0.5783744204763275,0,0,0,0,0
LGL,8,0.5219366889657251,0.6182209383789785,0.010642775611898197,0.08574167091518221,1,1,1,0,0
LHC,8,0.32832615382299224,0.2960935834320335,0.40688642046480733,0.09743456007540743,0,0,0,0,0
LHG,8,0.2599251047909691,0.3635753676553998,0.025999605537149518,0.34555197129795434,0,0,0,0,0
LIG,8,0.6757321290061375,0.4555133128394466,0.08155571542426807,0.011683886177153185,1,1,1,1,0
LIX,8,0.27976042846348176,0.17869164536553434,0.3677331361158429,0.08497752048022969,0,0,0,0,0
LM8,8,0.8310516123346192,0.656761622910757,0.08928106594654792,0.009598313446100555,1,1,1,1,0
LSS,8,0.3493296498772024,0.3364604062977795,0.48307915087554787,0.012873798784330315,0,0,0,0,0
MAC,8,0.2610177642767758,0.4451968901387643,0.14964428299815186,0.08504784774689539,0,1,0,0,0
MAS,8,0.39258638073972796,0.0783018836736783,0.6825317490027341,0.06723052556411079,0,0,0,0,0
MBG,8,0.12566834098933471,0.43214250653275,0.05805275985294271,0.028320203740722562,0,1,0,0,0
MBS,8,0.4719669537733435,0.011082975267735003,0.007269345574621422,,0,0,0,0,0
