symbol,price_n,price_start,price_end
GMD,1499,2020-01-02,2025-12-31
GSP,1475,2020-01-02,2025-12-31
GVR,1493,2020-01-02,2025-12-31
HAG,1499,2020-01-02,2025-12-31
HAH,1499,2020-01-02,2025-12-31
HAP,1493,2020-01-02,2025-12-31
HAR,1499,2020-01-02,2025-12-31
HAS,1066,2020-01-03,2025-12-24
HAX,1499,2020-01-02,2025-12-31
HBC,1491,2020-01-02,2025-12-31
HCC,1316,2020-01-02,2025-12-31
HCM,1499,2020-01-02,2025-12-31
HDA,1489,2020-01-02,2025-12-31
HDC,1499,2020-01-02,2025-12-31
HDG,1499,2020-01-02,2025-12-31
HHP,1491,2020-01-02,2025-12-31
HID,1499,2020-01-02,2025-12-31
HII,1499,2020-01-02,2025-12-31
HLD,1499,2020-01-02,2025-12-31
HMC,1485,2020-01-02,2025-12-31
HND,1499,2020-01-02,2025-12-31
HPG,1499,2020-01-02,2025-12-31
HQC,1499,2020-01-02,2025-12-31
HSG,1499,2020-01-02,2025-12-31
HT1,1499,2020-01-02,2025-12-31
HTG,1421,2020-01-02,2025-12-31
HTI,1441,2020-01-02,2025-12-31
HTN,1499,2020-01-02,2025-12-31
HTP,924,2020-01-02,2025-12-26
HTV,1283,2020-01-02,2025-12-30
HUB,1484,2020-01-02,2025-12-31
HVH,1499,2020-01-02,2025-12-31
IBC,925,2020-01-02,2023-09-15
IDI,1499,2020-01-02,2025-12-31
IDJ,1499,2020-01-02,2025-12-31
IDV,1498,2020-01-02,2025-12-31
IJC,1499,2020-01-02,2025-12-31
ILB,1420,2020-01-02,2025-12-31
IMP,1486,2020-01-02,2025-12-31
ITA,1181,2020-01-02,2024-09-25
ITC,1465,2020-01-02,2025-12-31
KBC,1499,2020-01-02,2025-12-31
KDC,1499,2020-01-02,2025-12-31
KDH,1499,2020-01-02,2025-12-31
KHG,1112,2021-07-19,2025-12-31
KHP,1489,2020-01-06,2025-12-31
KLB,1463,2020-01-02,2025-12-31
KMR,1498,2020-01-02,2025-12-31
KOS,1499,2020-01-02,2025-12-31
KSB,1499,2020-01-02,2025-12-31
KSD,1187,2020-01-02,2025-12-30
KSH,467,2020-01-03,2024-05-31
KST,560,2020-01-22,2025-12-31
KSV,1142,2020-08-07,2025-12-31
L14,1499,2020-01-02,2025-12-31
L18,1309,2020-01-20,2025-12-31
LAS,1498,2020-01-02,2025-12-31
LCG,1499,2020-01-02,2025-12-31
LDG,1499,2020-01-02,2025-12-31
LGC,670,2020-01-03,2025-12-31
LHG,1499,2020-01-02,2025-12-31
LIX,1481,2020-01-02,2025-12-31
LM7,896,2020-01-02,2025-11-21
LSS,1499,2020-01-02,2025-12-31
MBB,1499,2020-01-02,2025-12-31
MBS,1499,2020-01-02,2025-12-31
MCH,1494,2020-01-02,2025-12-31
MCP,1090,2020-01-02,2025-12-31
MIG,1484,2020-01-02,2025-12-31
MSB,1254,2020-12-23,2025-12-31
MSH,1499,2020-01-02,2025-12-31
MSN,1499,2020-01-02,2025-12-31
MWG,1499,2020-01-02,2025-12-31
NAB,1301,2020-10-09,2025-12-31
NAF,1499,2020-01-02,2025-12-31
NAV,1224,2020-01-02,2025-12-31
NBB,1476,2020-01-02,2025-12-31
NCT,1493,2020-01-02,2025-12-31
NHA,1490,2020-01-02,2025-12-31
NKG,1499,2020-01-02,2025-12-31
NLG,1499,2020-01-02,2025-12-31
NNC,1493,2020-01-02,2025-12-31
NRC,1499,2020-01-02,2025-12-31
NSC,1442,2020-01-02,2025-12-29
NTP,1499,2020-01-02,2025-12-31
NVB,1499,2020-01-02,2025-12-31
NVT,1407,2020-01-02,2025-12-31
OCB,1229,2021-01-28,2025-12-31
OGC,1499,2020-01-02,2025-12-31
ORS,1483,2020-01-02,2025-12-31
PAC,1436,2020-01-02,2025-12-31
PAN,1492,2020-01-02,2025-12-31
PC1,1499,2020-01-02,2025-12-31
PDR,1499,2020-01-02,2025-12-31
PET,1499,2020-01-02,2025-12-31
PGC,1493,2020-01-02,2025-12-31
PGD,1438,2020-01-02,2025-12-31
PGS,1271,2020-01-02,2025-12-31
PIT,1458,2020-01-02,2025-12-31
PLC,1499,2020-01-02,2025-12-31
PLP,1492,2020-01-02,2025-12-31
PMG,1128,2020-01-02,2025-12-31
PNJ,1499,2020-01-02,2025-12-31
POM,1166,2020-01-02,2025-12-26
POW,1499,2020-01-02,2025-12-31
PPC,1499,2020-01-02,2025-12-31
PTB,1499,2020-01-02,2025-12-31
PTI,1283,2020-01-02,2025-12-31
PVB,1499,2020-01-02,2025-12-31
PVC,1499,2020-01-02,2025-12-31
PVD,1499,2020-01-02,2025-12-31
PVI,1499,2020-01-02,2025-12-31
PVS,1499,2020-01-02,2025-12-31
PVT,1499,2020-01-02,2025-12-31
QCG,1499,2020-01-02,2025-12-31
RAL,1497,2020-01-02,2025-12-31
REE,1499,2020-01-02,2025-12-31
S55,994,2020-01-03,2025-12-26
S99,1481,2020-01-03,2025-12-31
SAB,1499,2020-01-02,2025-12-31
SAM,1499,2020-01-02,2025-12-31
SAV,1483,2020-01-02,2025-12-31
SBA,1477,2020-01-02,2025-12-31
SBT,1499,2020-01-02,2025-12-31
SCR,1499,2020-01-02,2025-12-31
SD5,1451,2020-01-06,2025-12-31
SD6,1267,2020-01-02,2025-12-26
SD9,1475,2020-01-02,2025-12-31
SDT,1465,2020-01-02,2025-12-31
SEA,1351,2020-01-02,2025-12-31
SGC,681,2020-01-03,2025-12-31
SGN,1481,2020-01-02,2025-12-31
SGP,1499,2020-01-02,2025-12-31
SGR,1453,2020-01-06,2025-12-31
SHP,1453,2020-01-02,2025-12-31
SHS,1499,2020-01-02,2025-12-31
SIP,1494,2020-01-02,2025-12-31
SJS,1499,2020-01-02,2025-12-31
SKG,1499,2020-01-02,2025-12-31
SMC,1493,2020-01-02,2025-12-31
SPM,1141,2020-01-02,2025-12-31
SRC,1294,2020-01-02,2025-12-31
SSC,933,2020-01-02,2025-12-31
ST8,1393,2020-01-08,2025-12-31
STB,1499,2020-01-02,2025-12-31
STK,1498,2020-01-02,2025-12-31
SVC,1062,2020-01-02,2025-12-31
SZC,1499,2020-01-02,2025-12-31
TBC,1335,2020-01-02,2025-12-31
TCB,1499,2020-01-02,2025-12-31
TCM,1499,2020-01-02,2025-12-31
TCR,1364,2020-01-02,2025-12-31
TDC,1499,2020-01-02,2025-12-31
TDP,1332,2020-01-02,2025-12-31
TDW,646,2020-01-02,2025-12-31
TEG,1467,2020-01-02,2025-12-31
TGG,925,2020-01-02,2023-09-15
THG,1499,2020-01-02,2025-12-31
TIP,1499,2020-01-02,2025-12-31
TIX,828,2020-01-07,2025-12-30
TLG,1499,2020-01-02,2025-12-31
TMB,1353,2020-02-05,2025-12-31
TMP,1391,2020-01-03,2025-12-31
TMS,1417,2020-01-02,2025-12-31
TNG,1499,2020-01-02,2025-12-31
TNI,1499,2020-01-02,2025-12-31
TPB,1499,2020-01-02,2025-12-31
TRA,1418,2020-01-02,2025-12-31
TRC,1388,2020-01-02,2025-12-31
TSC,1499,2020-01-02,2025-12-31
TTA,1322,2020-09-18,2025-12-31
TTB,876,2020-01-02,2023-07-06
TTF,1499,2020-01-02,2025-12-31
TV2,1499,2020-01-02,2025-12-31
TV4,1408,2020-01-02,2025-12-31
TVB,1493,2020-01-02,2025-12-31
TVS,1492,2020-01-02,2025-12-31
VC1,1003,2020-01-02,2025-12-29
VC2,1347,2020-02-05,2025-12-31
VC3,1499,2020-01-02,2025-12-31
VC7,1446,2020-01-03,2025-12-31
VCB,1499,2020-01-02,2025-12-31
VCG,1494,2020-01-02,2025-12-31
VCI,1499,2020-01-02,2025-12-31
VCP,1309,2020-01-02,2025-12-31
VCS,1499,2020-01-02,2025-12-31
VDP,1194,2020-01-03,2025-12-31
VDS,1456,2020-01-02,2025-12-31
VE1,1087,2020-01-06,2025-12-30
VFG,1281,2020-01-02,2025-12-31
VGC,1499,2020-01-02,2025-12-31
VHC,1499,2020-01-02,2025-12-31
VHM,1499,2020-01-02,2025-12-31
VIB,1492,2020-01-02,2025-12-31
VIC,1499,2020-01-02,2025-12-31
VIP,1499,2020-01-02,2025-12-31
VIX,1492,2020-01-02,2025-12-31
VJC,1499,2020-01-02,2025-12-31
VLC,1489,2020-01-02,2025-12-31
VND,1493,2020-01-02,2025-12-31
VNE,1499,2020-01-02,2025-12-31
VNF,1216,2020-01-03,2025-12-31
VNM,1499,2020-01-02,2025-12-31
VNR,1414,2020-01-06,2025-12-31
VOS,1499,2020-01-02,2025-12-31
VPB,1499,2020-01-02,2025-12-31
VPG,1499,2020-01-02,2025-12-31
VPH,1499,2020-01-02,2025-12-31
VPI,1499,2020-01-02,2025-12-31
VPS,1354,2020-01-02,2025-12-31
VRC,1492,2020-01-02,2025-12-30
VRE,1499,2020-01-02,2025-12-31
VSC,1499,2020-01-02,2025-12-31
VSH,1489,2020-01-02,2025-12-31
VSI,1134,2020-01-02,2025-12-31
VTC,1233,2020-01-02,2025-12-31
VTH,674,2020-04-01,2025-12-29
VTJ,997,2020-01-02,2025-12-29
VTO,1499,2020-01-02,2025-12-31
VTV,1398,2020-01-02,2025-12-31
WCS,1206,2020-01-02,2025-12-31
WSS,1431,2020-01-02,2025-12-31
X20,744,2020-03-03,2025-12-29
YBM,1381,2020-01-02,2025-12-31
YEG,1499,2020-01-02,2025-12-31
