direction,group,shock,beta_daily_spread,p_hac,q_fdr,event5_mean_diff,event5_share_negative,pre5_mean_diff,empirical_score
4 Threat→DoubleExposure,DoubleExposure_TopTercile,THREATS_z,-0.00018755523425744244,0.20808602710412416,0.5478189315774706,-0.0014583912576509397,0.5333333333333333,0.0036833297722396745,53.0
2 Acts→HighLiab realization,HighLiab_TopTercile,ACTS_z,-0.00013474200097234734,0.21448353011087207,0.5478189315774706,0.002192042018823116,0.4,-0.0005591121568891649,46.0
5 Threat→AssetCommitmentMismatch,AssetCommitmentMismatch,THREATS_z,-0.00018662597988759673,0.2745116749019414,0.5478189315774706,1.2860150845360348e-05,0.4666666666666667,0.0026207522998442073,32.0
1 Threat→HighLiab market anticipation,HighLiab_TopTercile,THREATS_z,-4.269833298335391e-06,0.9720372844915885,0.9720372844915885,3.891042587471881e-05,0.4666666666666667,0.0023273576163969512,32.0
3 Acts→CashConversionTrap,CashConversionTrap,ACTS_z,6.539159927430352e-05,0.7235285197542067,0.7616089681623229,-0.0014012148292270427,0.6,0.001697145218086918,29.0
