group,shock,beta,p,n,status,q_fdr
HighLiab_TopTercile,THREATS_z,-4.269833298335391e-06,0.9720372844915885,1498,OK,0.9720372844915885
HighLiab_TopTercile,ACTS_z,-0.00013474200097234734,0.21448353011087207,1498,OK,0.5478189315774706
HighLiab_TopTercile,AI_GPR_z,-5.9054674154567695e-05,0.6422974281055676,1498,OK,0.7136638090061862
HighLiab_TopTercile,GPR_ORIG_z,-5.3872615564425355e-05,0.5868079511165086,1498,OK,0.6903622954311865
CashConversionTrap,THREATS_z,-0.00039469315700633664,0.03051082615289192,1498,OK,0.3051082615289192
CashConversionTrap,ACTS_z,6.539159927430352e-05,0.7235285197542067,1498,OK,0.7616089681623229
CashConversionTrap,AI_GPR_z,-0.00021917351372537032,0.26048978666271927,1498,OK,0.5478189315774706
CashConversionTrap,GPR_ORIG_z,-0.00016327294221567715,0.2553689117765571,1498,OK,0.5478189315774706
DoubleExposure_TopTercile,THREATS_z,-0.00018755523425744244,0.20808602710412416,1498,OK,0.5478189315774706
DoubleExposure_TopTercile,ACTS_z,-9.091680715584912e-05,0.5653428858794427,1498,OK,0.6903622954311865
DoubleExposure_TopTercile,AI_GPR_z,-0.0001445384580851529,0.3729328852300485,1498,OK,0.598708805929409
DoubleExposure_TopTercile,GPR_ORIG_z,-0.0001275688273945887,0.30130041236760885,1498,OK,0.5478189315774706
FragileLowMarginFunding,THREATS_z,0.0004225739092515907,0.026225916660360712,1498,OK,0.3051082615289192
FragileLowMarginFunding,ACTS_z,-0.00015715752763331085,0.39959751842108815,1498,OK,0.598708805929409
FragileLowMarginFunding,AI_GPR_z,0.00016604716187457955,0.41909616415058637,1498,OK,0.598708805929409
FragileLowMarginFunding,GPR_ORIG_z,-0.00024751250336240625,0.2027805886809514,1498,OK,0.5478189315774706
AssetCommitmentMismatch,THREATS_z,-0.00018662597988759673,0.2745116749019414,1498,OK,0.5478189315774706
AssetCommitmentMismatch,ACTS_z,-0.0002829745937394462,0.07846988891000747,1498,OK,0.5231325927333832
AssetCommitmentMismatch,AI_GPR_z,-0.00023028315660106202,0.1826571288460328,1498,OK,0.5478189315774706
AssetCommitmentMismatch,GPR_ORIG_z,0.00010447137916656019,0.5283221649059002,1498,OK,0.6903622954311865
