shock,group,horizon,mean_diff,median_diff,events,share_negative,share_event_p_lt_05
ACTS_z,AssetCommitmentMismatch,post1,0.0008319191437554,0.0013605542070024403,15,0.4666666666666667,0.0
ACTS_z,AssetCommitmentMismatch,post20,0.008716955623820384,0.001582921334209392,15,0.4,0.2
ACTS_z,AssetCommitmentMismatch,post5,0.0025368783427050703,0.003445611660365279,15,0.4,0.0
ACTS_z,AssetCommitmentMismatch,pre5,0.002363015708595642,0.00041312533541763233,15,0.4,0.0
ACTS_z,CashConversionTrap,post1,-0.0021121666039980416,-0.0015153940237944779,15,0.6666666666666666,0.13333333333333333
ACTS_z,CashConversionTrap,post20,0.003143914781129095,0.007966502045761895,15,0.4666666666666667,0.06666666666666667
ACTS_z,CashConversionTrap,post5,-0.0014012148292270427,-0.006801996972225539,15,0.6,0.2
ACTS_z,CashConversionTrap,pre5,0.001697145218086918,-0.0003245619509430059,15,0.5333333333333333,0.2
ACTS_z,DoubleExposure_TopTercile,post1,-0.0018142581031013174,-0.0014219008640580484,15,0.5333333333333333,0.06666666666666667
ACTS_z,DoubleExposure_TopTercile,post20,0.012605889427497286,0.00974515810230064,15,0.3333333333333333,0.13333333333333333
ACTS_z,DoubleExposure_TopTercile,post5,0.0024396165601484427,0.004443041559713624,15,0.26666666666666666,0.06666666666666667
ACTS_z,DoubleExposure_TopTercile,pre5,0.001470650708805117,-0.00035605869693555205,15,0.5333333333333333,0.06666666666666667
ACTS_z,FragileLowMarginFunding,post1,0.0005270536119309075,-0.00034092464790784255,15,0.5333333333333333,0.0
ACTS_z,FragileLowMarginFunding,post20,0.00018751923511303725,-0.010131085826094892,15,0.6,0.06666666666666667
ACTS_z,FragileLowMarginFunding,post5,0.003854521866840772,0.007135256636003878,15,0.4,0.0
ACTS_z,FragileLowMarginFunding,pre5,0.0009689195613020924,-0.0024687800030531925,15,0.6,0.0
ACTS_z,HighLiab_TopTercile,post1,-0.000317772584393189,0.00045972118231891795,15,0.4,0.06666666666666667
ACTS_z,HighLiab_TopTercile,post20,0.0083480502244883,0.0076129791940680765,15,0.2,0.2
ACTS_z,HighLiab_TopTercile,post5,0.002192042018823116,0.004296021521756694,15,0.4,0.0
ACTS_z,HighLiab_TopTercile,pre5,-0.0005591121568891649,-0.002321462133770727,15,0.6,0.2
THREATS_z,AssetCommitmentMismatch,post1,-0.0012398250481590314,-0.0015593018390297237,15,0.5333333333333333,0.06666666666666667
THREATS_z,AssetCommitmentMismatch,post20,0.0005579962716365449,0.0034364271261581245,15,0.3333333333333333,0.0
THREATS_z,AssetCommitmentMismatch,post5,1.2860150845360348e-05,0.0011549038936335735,15,0.4666666666666667,0.0
THREATS_z,AssetCommitmentMismatch,pre5,0.0026207522998442073,0.00019978655323964895,15,0.4666666666666667,0.0
THREATS_z,CashConversionTrap,post1,-0.001822451185078266,-0.0018245324843497999,15,0.6,0.0
THREATS_z,CashConversionTrap,post20,0.0013367738495916803,0.0009657781079466105,15,0.4,0.13333333333333333
THREATS_z,CashConversionTrap,post5,-0.0018427624452752437,-0.0014520999230539407,15,0.5333333333333333,0.06666666666666667
THREATS_z,CashConversionTrap,pre5,-0.00038522415735973254,-0.001143288607684754,15,0.5333333333333333,0.06666666666666667
THREATS_z,DoubleExposure_TopTercile,post1,-0.0008593813208244412,-0.0003595753523028505,15,0.6666666666666666,0.0
THREATS_z,DoubleExposure_TopTercile,post20,0.0003275045178907133,-0.0010059078709487267,15,0.5333333333333333,0.0
THREATS_z,DoubleExposure_TopTercile,post5,-0.0014583912576509397,-0.00033629664245066833,15,0.5333333333333333,0.06666666666666667
THREATS_z,DoubleExposure_TopTercile,pre5,0.0036833297722396745,0.0025096836766981914,15,0.3333333333333333,0.06666666666666667
THREATS_z,FragileLowMarginFunding,post1,0.0008506592942812737,0.0022760260639809564,15,0.4,0.06666666666666667
THREATS_z,FragileLowMarginFunding,post20,-0.00802634092599048,-0.017225303074116686,15,0.6666666666666666,0.0
THREATS_z,FragileLowMarginFunding,post5,-0.0013386258997701074,-0.002629886962187031,15,0.6,0.0
THREATS_z,FragileLowMarginFunding,pre5,0.0012749662699738141,-0.0033041652154046034,15,0.5333333333333333,0.06666666666666667
THREATS_z,HighLiab_TopTercile,post1,-0.0009231085468715418,-0.0019006587659675233,15,0.7333333333333333,0.06666666666666667
THREATS_z,HighLiab_TopTercile,post20,0.0007475730638801521,0.0028003888917585134,15,0.4666666666666667,0.06666666666666667
THREATS_z,HighLiab_TopTercile,post5,3.891042587471881e-05,0.0004992067969410655,15,0.4666666666666667,0.06666666666666667
THREATS_z,HighLiab_TopTercile,pre5,0.0023273576163969512,0.00047590240729586397,15,0.4,0.06666666666666667
